issue_year,term_months,all_originated_proxy_n,terminal_n,nonterminal_n,resolved_target_retained_n,terminal_but_excluded_n,terminal_share,nonterminal_share,resolved_target_retained_share,terminal_but_excluded_share,contractually_mature_n,contractually_mature_share,observation_months_min,observation_months_max,contractual_maturity_status
2007,36,603,603,0,251,352,1.0,0.0,0.41625207296849087,0.5837479270315091,,,,,not_computable_without_documented_snapshot
2008,36,2393,2393,0,1562,831,1.0,0.0,0.6527371500208943,0.3472628499791057,,,,,not_computable_without_documented_snapshot
2009,36,5281,5281,0,4716,565,1.0,0.0,0.8930126869911001,0.10698731300889983,,,,,not_computable_without_documented_snapshot
2010,36,9156,9156,0,8466,690,1.0,0.0,0.9246395806028833,0.07536041939711664,,,,,not_computable_without_documented_snapshot
2010,60,3381,3381,0,3070,311,1.0,0.0,0.9080153800650695,0.0919846199349305,,,,,not_computable_without_documented_snapshot
2011,36,14101,14101,0,14101,0,1.0,0.0,1.0,0.0,,,,,not_computable_without_documented_snapshot
2011,60,7620,7620,0,7620,0,1.0,0.0,1.0,0.0,,,,,not_computable_without_documented_snapshot
2012,36,43470,43470,0,43470,0,1.0,0.0,1.0,0.0,,,,,not_computable_without_documented_snapshot
2012,60,9897,9897,0,9897,0,1.0,0.0,1.0,0.0,,,,,not_computable_without_documented_snapshot
2013,36,100422,100422,0,100422,0,1.0,0.0,1.0,0.0,,,,,not_computable_without_documented_snapshot
2013,60,34392,34382,10,34382,0,0.9997092347057456,0.0002907652942544778,0.9997092347057456,0.0,,,,,not_computable_without_documented_snapshot
2014,36,162570,162570,0,162570,0,1.0,0.0,1.0,0.0,,,,,not_computable_without_documented_snapshot
2014,60,73059,60533,12526,60533,0,0.8285495284632968,0.1714504715367032,0.8285495284632968,0.0,,,,,not_computable_without_documented_snapshot
2015,36,283173,283026,147,283026,0,0.9994808827112754,0.0005191172887245606,0.9994808827112754,0.0,,,,,not_computable_without_documented_snapshot
2015,60,137922,92520,45402,92520,0,0.6708139383129595,0.3291860616870405,0.6708139383129595,0.0,,,,,not_computable_without_documented_snapshot
2016,36,323495,232361,91134,232361,0,0.7182831264779981,0.28171687352200186,0.7182831264779981,0.0,,,,,not_computable_without_documented_snapshot
2016,60,110912,60744,50168,60744,0,0.5476774379688402,0.45232256203115984,0.5476774379688402,0.0,,,,,not_computable_without_documented_snapshot
2017,36,320419,128551,191868,128551,0,0.40119655825653283,0.5988034417434671,0.40119655825653283,0.0,,,,,not_computable_without_documented_snapshot
2017,60,123160,40770,82390,40770,0,0.3310328028580708,0.6689671971419292,0.3310328028580708,0.0,,,,,not_computable_without_documented_snapshot
2018,36,344671,41272,303399,41272,0,0.11974317537593822,0.8802568246240617,0.11974317537593822,0.0,,,,,not_computable_without_documented_snapshot
2018,60,150571,15046,135525,15046,0,0.09992628062508717,0.9000737193749129,0.09992628062508717,0.0,,,,,not_computable_without_documented_snapshot
