issue_year,term_months,loan_status,n,share_within_issue_year_term
2007,36,Charged Off,45,0.07462686567164178
2007,36,Does not meet the credit policy. Status:Charged Off,113,0.18739635157545606
2007,36,Does not meet the credit policy. Status:Fully Paid,239,0.3963515754560531
2007,36,Fully Paid,206,0.3416252072968491
2008,36,Charged Off,247,0.10321771834517342
2008,36,Does not meet the credit policy. Status:Charged Off,249,0.10405348934391977
2008,36,Does not meet the credit policy. Status:Fully Paid,582,0.24320936063518597
2008,36,Fully Paid,1315,0.5495194316757208
2009,36,Charged Off,594,0.11247869721643627
2009,36,Does not meet the credit policy. Status:Charged Off,129,0.02442719181973111
2009,36,Does not meet the credit policy. Status:Fully Paid,436,0.08256012118916872
2009,36,Fully Paid,4122,0.7805339897746639
2010,36,Charged Off,842,0.09196155526430756
2010,36,Does not meet the credit policy. Status:Charged Off,158,0.01725644386194845
2010,36,Does not meet the credit policy. Status:Fully Paid,532,0.0581039755351682
2010,36,Fully Paid,7624,0.8326780253385758
2010,60,Charged Off,645,0.19077196095829635
2010,60,Does not meet the credit policy. Status:Charged Off,112,0.033126293995859216
2010,60,Does not meet the credit policy. Status:Fully Paid,199,0.05885832593907128
2010,60,Fully Paid,2425,0.7172434191067731
2011,36,Charged Off,1499,0.10630451741011276
2011,36,Fully Paid,12602,0.8936954825898873
2011,60,Charged Off,1798,0.23595800524934382
2011,60,Fully Paid,5822,0.7640419947506562
2012,36,Charged Off,5903,0.13579480101219232
2012,36,Fully Paid,37567,0.8642051989878077
2012,60,Charged Off,2741,0.27695261190259673
2012,60,Fully Paid,7156,0.7230473880974032
2013,36,Charged Off,12378,0.12325984346059628
2013,36,Fully Paid,88044,0.8767401565394037
2013,60,Charged Off,8646,0.25139567341242147
2013,60,Current,6,0.00017445917655268666
2013,60,Fully Paid,25736,0.748313561293324
2013,60,In Grace Period,1,2.9076529425447778e-05
2013,60,Late (31-120 days),3,8.722958827634333e-05
2014,36,Charged Off,22315,0.13726394783785445
2014,36,Fully Paid,140255,0.8627360521621456
2014,60,Charged Off,18846,0.2579558986572496
2014,60,Current,11919,0.1631421180142077
2014,60,Default,1,1.3687567582364939e-05
2014,60,Fully Paid,41686,0.5705799422384648
2014,60,In Grace Period,200,0.0027375135164729877
2014,60,Late (16-30 days),73,0.0009991924335126404
2014,60,Late (31-120 days),334,0.004571647572509889
2015,36,Charged Off,42132,0.14878537148668836
2015,36,Current,72,0.00025426152917121334
2015,36,Fully Paid,240894,0.8506955112245871
2015,36,In Grace Period,9,3.178269114640167e-05
2015,36,Late (16-30 days),5,1.7657050636889817e-05
2015,36,Late (31-120 days),61,0.00021541601777005576
2015,60,Charged Off,33671,0.24413074056350692
2015,60,Current,43227,0.3134162787662592
2015,60,Default,1,7.25047490610635e-06
2015,60,Fully Paid,58848,0.4266759472745465
2015,60,In Grace Period,603,0.004372036368382129
2015,60,Late (16-30 days),274,0.00198663012427314
2015,60,Late (31-120 days),1298,0.009411116428126042
2016,36,Charged Off,46112,0.14254316140898624
2016,36,Current,86623,0.2677722994173017
2016,36,Default,8,2.4729903089692268e-05
2016,36,Fully Paid,186241,0.5757152351659222
2016,36,In Grace Period,1096,0.0033879967232878405
2016,36,Late (16-30 days),584,0.0018052829255475356
2016,36,Late (31-120 days),2831,0.00875129445586485
2016,60,Charged Off,22130,0.19952755337564917
2016,60,Current,47438,0.42770845354875936
2016,60,Default,2,1.8032313906520483e-05
2016,60,Fully Paid,38612,0.3481318522792845
2016,60,In Grace Period,697,0.006284261396422389
2016,60,Late (16-30 days),318,0.0028671379111367573
2016,60,Late (31-120 days),1715,0.015462709174841315
2017,36,Charged Off,25721,0.08027301751768778
2017,36,Current,183950,0.5740920482243562
2017,36,Default,13,4.057187619960115e-05
2017,36,Fully Paid,102817,0.3208829688626455
2017,36,In Grace Period,1860,0.00580489921009678
2017,36,Late (16-30 days),957,0.0029867142710014076
2017,36,Late (31-120 days),5101,0.015919780038012726
2017,60,Charged Off,13427,0.10902078596947061
2017,60,Current,77901,0.6325186748944462
2017,60,Default,8,6.495615459564793e-05
2017,60,Fully Paid,27335,0.22194706073400455
2017,60,In Grace Period,1051,0.008533614810003249
2017,60,Late (16-30 days),535,0.004343942838583956
2017,60,Late (31-120 days),2903,0.023570964598895745
2018,36,Charged Off,5464,0.01585279875591506
2018,36,Current,296050,0.8589350424027551
2018,36,Default,4,1.1605269953085696e-05
2018,36,Fully Paid,35804,0.10387877135007006
2018,36,In Grace Period,1869,0.005422562385579291
2018,36,Late (16-30 days),999,0.002898416170783153
2018,36,Late (31-120 days),4481,0.01300080366494425
2018,60,Charged Off,3403,0.022600633588141142
2018,60,Current,131131,0.8708914731256351
2018,60,Default,3,1.992415538184644e-05
2018,60,Fully Paid,11640,0.07730572288156418
2018,60,In Grace Period,1050,0.006973454383646253
2018,60,Late (16-30 days),604,0.004011396616878416
2018,60,Late (31-120 days),2740,0.01819739524875308
