candidate_index,params,mean_validation_auc,std_validation_auc,sklearn_rank,mean_fit_time_seconds,mean_score_time_seconds,fold1_validation_auc,fold2_validation_auc,fold3_validation_auc,fold4_validation_auc,fold5_validation_auc
0,"{'clf__estimator__depth': 8, 'clf__estimator__l2_leaf_reg': 5, 'clf__estimator__learning_rate': 0.03}",0.7513729453802231,0.002555095816518113,13,6.606930318102241,0.03932956308126449,0.748000535029754,0.7499087632886317,0.7502378522307045,0.7543011621045298,0.7544164142474962
1,"{'clf__estimator__depth': 6, 'clf__estimator__l2_leaf_reg': 1, 'clf__estimator__learning_rate': 0.03}",0.7528558353754782,0.0025582456807700217,9,6.384463708102703,0.043615203350782394,0.7499288630851513,0.751470947750771,0.7510566336675988,0.7555061746092064,0.7563165577646634
2,"{'clf__estimator__depth': 4, 'clf__estimator__l2_leaf_reg': 5, 'clf__estimator__learning_rate': 0.03}",0.753483150365137,0.002604104317122109,4,7.627811035141349,0.04381706193089485,0.7497192262708292,0.7518894532343251,0.7530136280071489,0.7563688929807065,0.7564245513326755
3,"{'clf__estimator__depth': 6, 'clf__estimator__l2_leaf_reg': 1, 'clf__estimator__learning_rate': 0.1}",0.7509138439889368,0.002926116099312509,14,3.795817492902279,0.03497702106833458,0.7471812470624016,0.7494820308598394,0.7491875418444255,0.7545908594012471,0.7541275407767704
4,"{'clf__estimator__depth': 6, 'clf__estimator__l2_leaf_reg': 5, 'clf__estimator__learning_rate': 0.03}",0.7536243377227484,0.002268597705250508,3,7.111812032386661,0.042371246963739395,0.7506417128611312,0.7523774257520977,0.752546490033373,0.7561440218833121,0.756412038083828
5,"{'clf__estimator__depth': 8, 'clf__estimator__l2_leaf_reg': 1, 'clf__estimator__learning_rate': 0.1}",0.7472021087140991,0.0028404527285828705,20,3.4200023114681244,0.03234071768820286,0.7426523415400174,0.7463788694195651,0.7466394598581848,0.7494522392113696,0.7508876335413583
6,"{'clf__estimator__depth': 8, 'clf__estimator__l2_leaf_reg': 3, 'clf__estimator__learning_rate': 0.1}",0.7484828004829878,0.0021559529232840478,19,3.54278547950089,0.033911404013633725,0.7461607050814912,0.7472638337921053,0.7468425117765548,0.7514262598809857,0.7507206918838022
7,"{'clf__estimator__depth': 4, 'clf__estimator__l2_leaf_reg': 3, 'clf__estimator__learning_rate': 0.03}",0.7534393073168923,0.0025062052866115852,5,7.206640082597732,0.04313499741256237,0.7499633906503161,0.7518236989013745,0.7528170329605491,0.7562633430587106,0.7563290710135111
8,"{'clf__estimator__depth': 4, 'clf__estimator__l2_leaf_reg': 3, 'clf__estimator__learning_rate': 0.05}",0.7536925326369873,0.0025673315758140466,1,5.571005737036467,0.04040726386010647,0.7503547884049723,0.7519981123669356,0.7527239983443691,0.7566604104875543,0.7567253535811058
9,"{'clf__estimator__depth': 6, 'clf__estimator__l2_leaf_reg': 3, 'clf__estimator__learning_rate': 0.03}",0.7532662365858953,0.0021906494179951283,7,6.742774261906743,0.04239344894886017,0.7503854362808063,0.7518155721489738,0.7525107657204233,0.7560123043532947,0.7556071044259784
10,"{'clf__estimator__depth': 8, 'clf__estimator__l2_leaf_reg': 5, 'clf__estimator__learning_rate': 0.1}",0.7487967944946325,0.00293613407009639,18,3.8127145882695914,0.03373601548373699,0.7445473554768411,0.747319218166342,0.7480293460368946,0.7528139112681962,0.751274141524889
