candidate_index,params,mean_validation_auc,std_validation_auc,sklearn_rank,mean_fit_time_seconds,mean_score_time_seconds,fold1_validation_auc,fold2_validation_auc,fold3_validation_auc,fold4_validation_auc,fold5_validation_auc
0,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7524016800527681,0.002753392225150854,6,2.765533770993352,0.058983687311410904,0.7490677557405487,0.7499752551521941,0.7520496532325883,0.7544334752384737,0.7564822609000361
1,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7459470141084363,0.0022466717870048476,26,3.1858477137982844,0.06301886737346649,0.742905011178181,0.7449920947850963,0.7447886810592566,0.7480545599692664,0.7489947235503818
2,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7446066985477413,0.0027479083733667293,28,3.0616093527525665,0.05919818133115769,0.7411541190722856,0.7433247217589231,0.7429681104009295,0.7470193919954885,0.7485671495110804
3,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7525020127810866,0.002920630921066472,5,4.118758757039904,0.10343011654913425,0.7491524242547712,0.7500680198043389,0.7514526514253321,0.7551902512573533,0.7566467171636374
4,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7497574494807815,0.002352984618515915,20,2.698407096788287,0.05647934451699257,0.7467726244890445,0.7485737688693728,0.7487382576777215,0.7511518089315072,0.7535507874362617
5,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.743515455043411,0.0024327796945781215,29,2.704089281335473,0.05045881643891335,0.7392824027533884,0.7442485386874605,0.7425891727389092,0.7452376150175196,0.7462195460197771
6,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7503875270526421,0.0024951355603539775,16,3.578386190906167,0.08366529829800129,0.7470657581180135,0.7493023572702928,0.7490053161206491,0.7529291634111623,0.7536350403430928
7,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7477017335331088,0.0028087741957481998,23,3.177213918045163,0.0612948440015316,0.7440798807438049,0.7462725592523745,0.7468377553998929,0.748920615392672,0.7523978568767995
8,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7534139000207196,0.002788604665885496,2,4.013865401595831,0.10025575757026672,0.7502186096395752,0.7508560865701743,0.7527870920008487,0.7557717610796859,0.7574359508133133
9,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7486939771211578,0.0026844325903199223,22,3.9541604049503802,0.08053775280714034,0.7441615685211025,0.7479955560023415,0.7487443137781404,0.7503956619149051,0.752172785389299
