model_a,model_b,metric,delta_point,delta_bootstrap_mean,delta_ci_low,delta_ci_high,share_delta_positive,ci_method,ci_level,n_bootstrap
LR,EBM,auc,-0.012102906343199549,-0.012112286529246414,-0.014632280486024038,-0.009603746441582715,0.0,percentile,0.95,1000
LR,EBM,pr_auc,-0.015708931273250376,-0.01572920728851632,-0.020232735477653373,-0.011346472485296903,0.0,percentile,0.95,1000
LR,EBM,brier,0.0007709312639082588,0.0007677672429096001,0.0005959625226007965,0.0009386762152078075,1.0,percentile,0.95,1000
LR,EBM,emp,-0.0002801868564983258,-0.0002874072747150822,-0.0004019433288814938,-0.00016828201531768593,0.0,percentile,0.95,1000
LR,EBM,f1_fix,-0.010582541290329484,-0.010645572504703018,-0.014159249813840572,-0.007206903813582193,0.0,percentile,0.95,1000
LR,EBM,balacc_fix,-0.011043482879573352,-0.011133862170500735,-0.016055239803959363,-0.00667672914476471,0.0,percentile,0.95,1000
LR,XGBoost,auc,-0.010480081715308898,-0.010531341476365192,-0.013210999806313458,-0.007875497081217007,0.0,percentile,0.95,1000
LR,XGBoost,pr_auc,-0.014098114428325648,-0.014058432190334464,-0.01933941190940031,-0.008672207375267652,0.0,percentile,0.95,1000
LR,XGBoost,brier,0.0007145893812433163,0.0007133646704741216,0.0005095920927648222,0.0009059197557623723,1.0,percentile,0.95,1000
LR,XGBoost,emp,-0.0002689765098364079,-0.0002724968980319533,-0.00041709927181776625,-0.00013568183078827606,0.0,percentile,0.95,1000
LR,XGBoost,f1_fix,-0.0009422231826637373,-0.001054397695344594,-0.004551284816706508,0.0020927136457293397,0.282,percentile,0.95,1000
LR,XGBoost,balacc_fix,-0.008746121502753224,-0.00889981394755328,-0.01364888133949218,-0.004391186009805012,0.0,percentile,0.95,1000
LR,CatBoost,auc,-0.01046204538280393,-0.010497140217113553,-0.013024473162218646,-0.007988400853446653,0.0,percentile,0.95,1000
LR,CatBoost,pr_auc,-0.014008698080958115,-0.014002802162180453,-0.0183116059241852,-0.009018549329663757,0.0,percentile,0.95,1000
LR,CatBoost,brier,0.0006702263576068707,0.0006678647140512092,0.0004929659922675973,0.0008360372816130609,1.0,percentile,0.95,1000
LR,CatBoost,emp,-0.000264788028589656,-0.00026698129539984864,-0.00039811623747850855,-0.00013367115319907048,0.0,percentile,0.95,1000
LR,CatBoost,f1_fix,-0.007225828496362496,-0.007275949104672073,-0.01068042371805247,-0.004122734692049881,0.0,percentile,0.95,1000
LR,CatBoost,balacc_fix,-0.008889377291256384,-0.008955459483496863,-0.013603099094702966,-0.004602192397616416,0.0,percentile,0.95,1000
EBM,XGBoost,auc,0.001622824627890651,0.0015809450528812242,-6.105653009769171e-06,0.003077902056765294,0.973,percentile,0.95,1000
EBM,XGBoost,pr_auc,0.0016108168449247284,0.0016707750981818559,-0.0012606071541363222,0.004794151558783732,0.874,percentile,0.95,1000
EBM,XGBoost,brier,-5.6341882664942555e-05,-5.440257243547833e-05,-0.00016668556396274604,5.947848264681273e-05,0.183,percentile,0.95,1000
EBM,XGBoost,emp,1.1210346661917918e-05,1.4910376683128845e-05,-7.169966549069427e-05,0.00010485675563962326,0.631,percentile,0.95,1000
EBM,XGBoost,f1_fix,0.009640318107665746,0.009591174809358425,0.0069378349929882415,0.012113477458820063,1.0,percentile,0.95,1000
EBM,XGBoost,balacc_fix,0.0022973613768201284,0.002234048222947453,-0.0013806516409730074,0.0056793611472603835,0.875,percentile,0.95,1000
EBM,CatBoost,auc,0.0016408609603956181,0.0016151463121328617,0.00025249217906068153,0.0030028414971874054,0.989,percentile,0.95,1000
EBM,CatBoost,pr_auc,0.0017002331922922609,0.0017264051263358672,-0.0007125917563278676,0.0043218251185954465,0.92,percentile,0.95,1000
EBM,CatBoost,brier,-0.00010070490630138818,-9.99025288583908e-05,-0.00020110146441905882,-4.2547969664703164e-06,0.022,percentile,0.95,1000
EBM,CatBoost,emp,1.5398827908669806e-05,2.0425979315233465e-05,-5.7759169033607167e-05,0.00010014122226894171,0.693,percentile,0.95,1000
EBM,CatBoost,f1_fix,0.003356712793966987,0.003369623400030946,0.0010304006385141076,0.005639424985096318,0.996,percentile,0.95,1000
EBM,CatBoost,balacc_fix,0.002154105588316968,0.00217840268700387,-0.0010235510934602286,0.005149419330196134,0.915,percentile,0.95,1000
XGBoost,CatBoost,auc,1.8036332504967056e-05,3.420125925163764e-05,-0.001227922369458964,0.001246975984247236,0.519,percentile,0.95,1000
XGBoost,CatBoost,pr_auc,8.941634736753246e-05,5.56300281540113e-05,-0.0022988575644022355,0.0023523883718056574,0.52,percentile,0.95,1000
XGBoost,CatBoost,brier,-4.436302363644562e-05,-4.549995642291248e-05,-0.00012950942238653605,3.312210485489906e-05,0.153,percentile,0.95,1000
XGBoost,CatBoost,emp,4.188481246751889e-06,5.515602632104619e-06,-6.815203254603651e-05,7.878027931113809e-05,0.568,percentile,0.95,1000
XGBoost,CatBoost,f1_fix,-0.006283605313698759,-0.0062215514093274795,-0.00835553375094321,-0.003961087925747893,0.0,percentile,0.95,1000
XGBoost,CatBoost,balacc_fix,-0.00014325578850316045,-5.5645535943583126e-05,-0.00289193768990377,0.0032073776223439598,0.484,percentile,0.95,1000
