model,metric,point,bootstrap_mean,ci_low,ci_high,ci_method,ci_level,n_bootstrap
LR,auc,0.7439423732229823,0.7438803804066649,0.7368573837834812,0.7507314268969062,percentile,0.95,1000
LR,pr_auc,0.22488924654294318,0.2251485957633427,0.21534380940908823,0.23476226194274813,percentile,0.95,1000
LR,brier,0.06872061136406321,0.06872307343421608,0.06834721728642457,0.0691308639972003,percentile,0.95,1000
LR,emp,0.0012972762039121445,0.0013272086937672078,0.0011088529803680725,0.0015415638062653983,percentile,0.95,1000
LR,f1_fix,0.25911761226984187,0.2590625599862999,0.25426949601906956,0.26401272626669825,percentile,0.95,1000
LR,balacc_fix,0.679584567297411,0.6795240559273078,0.6728526589714974,0.6863143976422457,percentile,0.95,1000
EBM,auc,0.7560452795661818,0.7559926669359113,0.7492475002865044,0.7628502772974798,percentile,0.95,1000
EBM,pr_auc,0.24059817781619355,0.24087780305185902,0.23050249538134496,0.2509863408297217,percentile,0.95,1000
EBM,brier,0.06794968010015495,0.06795530619130646,0.0675246201853194,0.06839151334579269,percentile,0.95,1000
EBM,emp,0.0015774630604104703,0.00161461596848229,0.0013926167051053228,0.0018438236573066393,percentile,0.95,1000
EBM,f1_fix,0.26970015356017135,0.26970813249100295,0.2647811893932056,0.27452918739588283,percentile,0.95,1000
EBM,balacc_fix,0.6906280501769844,0.6906579180978085,0.6840093308363896,0.6972007723276562,percentile,0.95,1000
XGBoost,auc,0.7544224549382912,0.7544117218830302,0.7475146138199631,0.7613601382962423,percentile,0.95,1000
XGBoost,pr_auc,0.23898736097126883,0.2392070279536772,0.2285419270133725,0.2492852943502326,percentile,0.95,1000
XGBoost,brier,0.0680060219828199,0.06800970876374195,0.06758509291537931,0.06847009113876086,percentile,0.95,1000
XGBoost,emp,0.0015662527137485524,0.0015997055917991614,0.0013623946852246462,0.0018299716954981574,percentile,0.95,1000
XGBoost,f1_fix,0.2600598354525056,0.2601169576816445,0.255547211360077,0.26451142547601697,percentile,0.95,1000
XGBoost,balacc_fix,0.6883306888001642,0.688423869874861,0.6816289850079711,0.6949167757556637,percentile,0.95,1000
CatBoost,auc,0.7544044186057862,0.7543775206237785,0.7476210021318354,0.7613586982484524,percentile,0.95,1000
CatBoost,pr_auc,0.2388979446239013,0.23915139792552315,0.22823939566036955,0.24939595021430053,percentile,0.95,1000
CatBoost,brier,0.06805038500645634,0.06805520872016484,0.06762061349232718,0.06850828507056622,percentile,0.95,1000
CatBoost,emp,0.0015620642325018005,0.0015941899891670566,0.0013773006699402534,0.0018202373342367415,percentile,0.95,1000
CatBoost,f1_fix,0.26634344076620436,0.26633850909097195,0.2614608914405993,0.2710048541545597,percentile,0.95,1000
CatBoost,balacc_fix,0.6884739445886674,0.6884795154108047,0.6821944157494695,0.6951595286981277,percentile,0.95,1000
