model,feature,mean_abs_attribution,point_rank,in_top10_frequency,rank_ci_low,rank_median,rank_ci_high
LR,AMT_GOODS_PRICE,0.7521656155586243,1,1.0,1.0,1.0,1.0
LR,AMT_CREDIT,0.7312906384468079,2,1.0,2.0,2.0,2.0
LR,EXT_SOURCE_3,0.3624781668186188,3,1.0,3.0,3.0,3.0
LR,EXT_SOURCE_2,0.3380303978919983,4,1.0,4.0,4.0,4.0
LR,CODE_GENDER,0.17445912957191467,5,1.0,5.0,5.0,5.0
LR,ORGANIZATION_TYPE,0.15958154201507568,6,1.0,6.0,6.0,6.0
LR,NAME_EDUCATION_TYPE,0.12759172916412354,7,1.0,7.0,7.0,8.0
LR,FLAG_DOCUMENT_3,0.12421640753746033,8,1.0,7.0,8.0,9.0
LR,FLAG_OWN_CAR,0.12330067157745361,9,1.0,8.0,9.0,9.0
LR,OCCUPATION_TYPE,0.11834049969911575,10,1.0,10.0,10.0,10.0
LR,DAYS_EMPLOYED,0.08962015062570572,11,0.0,11.0,11.0,13.0
LR,REGION_RATING_CLIENT_W_CITY,0.08770709484815598,12,0.0,11.0,12.0,14.0
LR,NAME_FAMILY_STATUS,0.08603521436452866,13,0.0,12.0,13.0,14.0
LR,AMT_ANNUITY,0.08572027832269669,14,0.0,11.0,13.0,14.0
LR,NAME_INCOME_TYPE,0.06372147053480148,15,0.0,15.0,15.0,16.0
LR,DAYS_ID_PUBLISH,0.061653293669223785,16,0.0,15.0,16.0,16.0
LR,FLAG_WORK_PHONE,0.05828982591629028,17,0.0,17.0,17.0,18.0
LR,DAYS_BIRTH,0.05776010826230049,18,0.0,17.0,18.0,18.0
LR,DAYS_LAST_PHONE_CHANGE,0.05389147251844406,19,0.0,19.0,19.0,19.0
LR,WEEKDAY_APPR_PROCESS_START,0.045404136180877686,20,0.0,20.0,20.0,20.0
LR,FLAG_DOCUMENT_6,0.03750329837203026,21,0.0,21.0,21.0,22.0
LR,REG_CITY_NOT_LIVE_CITY,0.03600786253809929,22,0.0,21.0,22.0,22.0
LR,FLAG_PHONE,0.0329195111989975,23,0.0,23.0,23.0,23.0
