candidate_index,params,mean_validation_auc,std_validation_auc,sklearn_rank,mean_fit_time_seconds,mean_score_time_seconds,fold1_validation_auc,fold2_validation_auc,fold3_validation_auc,fold4_validation_auc,fold5_validation_auc
0,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.727220891524351,0.0005178044387210382,5,13.980458738654852,0.505291721969843,0.7279526487158466,0.7266589326896413,0.727261952694781,0.7266330594521059,0.7275978640693793
1,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7256947710478573,0.0006005967808015782,24,13.870263312757015,0.502795223146677,0.7263767689837481,0.7250837304741964,0.7253727666543027,0.7251761317103181,0.7264644574167215
2,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7252196723779362,0.0005992258404032157,28,13.659642347693444,0.48359121941030025,0.7259301214877724,0.7246561630107725,0.7246627439296468,0.724886678520555,0.725962654940934
3,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7256803191213509,0.0006169637313964969,25,18.434856090694666,0.7331000626087188,0.7265664380127331,0.7250756632451137,0.7251439067572729,0.7253429454327109,0.726272642158923
4,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7260765240764255,0.0005484989155647727,22,11.829860648885369,0.42198516279459,0.7266653839428199,0.725486401211767,0.725921149952907,0.7255332134665019,0.7267764718081321
5,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.723928258606521,0.0005784754747722157,30,10.732102892920375,0.3380900528281927,0.7246215546790636,0.7235697854578712,0.72361507891954,0.7232225660644864,0.7246123079116431
6,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.727090385689257,0.0005080047721028659,8,20.14608733020723,0.8711066178977489,0.727657164289064,0.7262004889533108,0.7269629329995968,0.7271432778918533,0.7274880643124597
7,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7263380643803555,0.0007099209301006897,19,14.318198232352733,0.5065697893500328,0.7273241829146511,0.7257283359654219,0.7264048265214975,0.7253839955932012,0.7268489809070059
8,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7266576282089587,0.0006576096791552197,17,19.240029434859753,0.7362533256411552,0.7275568843775018,0.7260115564984645,0.7263917703712168,0.7260061573883343,0.7273217724092764
9,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7271879487879133,0.0005646569572470147,6,19.102913815155624,0.724353538453579,0.7278482348326322,0.7264906587243646,0.727263431103754,0.7265918394488158,0.7277455798300003
10,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7257497400819319,0.0006638033345196014,23,18.988282012939454,0.7362171337008476,0.7266830843028039,0.7250681715231235,0.725249408647216,0.7253325913024107,0.7264154446341053
11,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7261292243124672,0.0005508442447888202,21,11.64871164560318,0.4064025167375803,0.7267139468654709,0.7252741405951644,0.7262913537705334,0.7257295035924609,0.7266371767387062
12,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.727577728151874,0.0005174295205292489,3,19.163959605991842,0.732719736173749,0.7281494940154507,0.726889833806734,0.727583270892412,0.7271170721946351,0.7281489698501384
13,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7270253807572887,0.0005546264694481277,9,13.79765855446458,0.4778881259262562,0.7275543443897896,0.726020422832854,0.7270440231779951,0.7269863098518733,0.7275218035339317
14,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7271665327134175,0.0006429624822738164,7,13.734262648969889,0.4774549037218094,0.727914472115021,0.7264146449210113,0.7271968459731566,0.7264674243644564,0.7278392761934416
15,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7267859151659456,0.0006830877553303397,13,18.409221170097588,0.7117958221584558,0.7276604453175666,0.7258284204440821,0.7265234939634452,0.7264472692578801,0.7274699468467538
16,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7276773965408856,0.0005697795550356934,2,15.876260969042779,0.6050314355641604,0.7284476902341713,0.7267894851431702,0.7277864190207468,0.7273428860640421,0.7280205022422978
17,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7239916245900436,0.0006727405908169658,29,10.885871675238013,0.33769852072000506,0.7247816403575069,0.7233137406506638,0.7235395755900325,0.7234844097033073,0.7248387566487074
18,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7269456135409714,0.0005860259876217488,10,18.76291075833142,0.7312630817294121,0.7277007400267808,0.7260731265730077,0.7267695531620848,0.726697585061488,0.7274870628814959
19,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7267083542306702,0.0005242283256782142,14,20.145302117615937,0.836087505146861,0.727466399940606,0.7260883754849982,0.7262767345937738,0.7265504277223817,0.7271598334115911
20,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7273346967888279,0.0006538218745633682,4,22.03527287952602,0.9529937949031592,0.7282271374371238,0.726453547363588,0.7271161984665476,0.7269406399672362,0.7279359607096433
21,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7279572697710566,0.000646438222701179,1,21.960506469383837,0.8993467472493648,0.7287681184194664,0.7269532988271833,0.7278951730457579,0.7276446780124124,0.7285250805504632
22,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7255984626435028,0.0006300174521427857,27,19.08456553556025,0.735051567479968,0.7264849044139264,0.7251702829050779,0.7250275446527593,0.7250703250487829,0.7262392561969675
23,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7268125562465068,0.0005923356886317365,12,18.775654147937892,0.7281469244509935,0.7275304051862537,0.7259975139093082,0.726627095302332,0.7264537013363844,0.7274540654982555
24,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7266868725641912,0.0005599949880345119,15,14.931150958314538,0.5653977122157812,0.7274616102224785,0.7260190924538679,0.7262813258194465,0.7264407071128819,0.7272316272122812
25,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7256634986482651,0.0006476712044747336,26,13.928789097070695,0.48934441842138765,0.7265088419966677,0.7250795156714916,0.7254456842538104,0.724936971370871,0.7263464799484848
26,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7269151597965873,0.0005214494133935669,11,21.096425630524756,0.8854674350470304,0.727807509262191,0.7262956340116766,0.7266375984755981,0.7266912586704513,0.72714379856302
27,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7266686731224755,0.0006468975437216776,16,19.497278643772006,0.7374506805092096,0.7275566331543413,0.7260625204810832,0.7263982432390059,0.7260059870052795,0.7273199817326674
28,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7265830081087404,0.0006526634192947821,18,18.3617253664881,0.700482577458024,0.7274581255816563,0.725798092395369,0.7262401134472645,0.7261623532682471,0.7272563558511651
