model_a,model_b,metric,delta_point,delta_bootstrap_mean,delta_ci_low,delta_ci_high,share_delta_positive,ci_method,ci_level,n_bootstrap
LR,EBM,auc,-0.013141638808215506,-0.013158347233831712,-0.014115332859579721,-0.012160259889224376,0.0,percentile,0.95,1000
LR,EBM,pr_auc,-0.016375896934668344,-0.016422780965679663,-0.018185538431557027,-0.014739141211121746,0.0,percentile,0.95,1000
LR,EBM,brier,0.001962471635698959,0.0019660807124281246,0.0018145181474876573,0.002113860062223261,1.0,percentile,0.95,1000
LR,EBM,emp,-0.0008265451056898368,-0.0008267395924528893,-0.0009093959694089476,-0.0007504345132881483,0.0,percentile,0.95,1000
LR,EBM,f1_fix,-0.011602317356426972,-0.011640343976614244,-0.013206600532273785,-0.009984219894438416,0.0,percentile,0.95,1000
LR,EBM,balacc_fix,-0.010928115601176236,-0.010963435333413667,-0.01252403455923189,-0.009345179985879077,0.0,percentile,0.95,1000
LR,XGBoost,auc,-0.020917370223299314,-0.020885628450524968,-0.022010336414244377,-0.019730560672975062,0.0,percentile,0.95,1000
LR,XGBoost,pr_auc,-0.026502792742285508,-0.026473726561494607,-0.028406209528558886,-0.024453158829799364,0.0,percentile,0.95,1000
LR,XGBoost,brier,0.0032121542268985226,0.003206636980686502,0.003021957107097426,0.0033837145931225206,1.0,percentile,0.95,1000
LR,XGBoost,emp,-0.0013005989195578327,-0.001295647379624763,-0.0013888560462553792,-0.001200437235737135,0.0,percentile,0.95,1000
LR,XGBoost,f1_fix,-0.015491653313197074,-0.015486152749625727,-0.017034194906809418,-0.01369751631696761,0.0,percentile,0.95,1000
LR,XGBoost,balacc_fix,-0.015761262251048125,-0.015756017386543333,-0.017273247806865483,-0.01404458076481494,0.0,percentile,0.95,1000
LR,CatBoost,auc,-0.021280467683130633,-0.021246890778419035,-0.022443458293405,-0.020125880173334786,0.0,percentile,0.95,1000
LR,CatBoost,pr_auc,-0.02728380669042252,-0.027277434410800147,-0.029106517879633666,-0.025321464948021025,0.0,percentile,0.95,1000
LR,CatBoost,brier,0.0033063869995164086,0.0033034738378598357,0.00312164960816847,0.0034778294214541927,1.0,percentile,0.95,1000
LR,CatBoost,emp,-0.0013271929810264801,-0.001326564828911714,-0.0014196046040064164,-0.0012364265199126317,0.0,percentile,0.95,1000
LR,CatBoost,f1_fix,-0.017652820198586328,-0.017639262171840808,-0.01945155461688669,-0.015952828330955363,0.0,percentile,0.95,1000
LR,CatBoost,balacc_fix,-0.016359900703645902,-0.016348585089624487,-0.018072055141148433,-0.014737534232744846,0.0,percentile,0.95,1000
EBM,XGBoost,auc,-0.007775731415083809,-0.007727281216693257,-0.008486482026955422,-0.00694392447765077,0.0,percentile,0.95,1000
EBM,XGBoost,pr_auc,-0.010126895807617164,-0.010050945595814945,-0.011480231864829219,-0.008628472791662315,0.0,percentile,0.95,1000
EBM,XGBoost,brier,0.0012496825911995635,0.0012405562682583778,0.0011073278356048427,0.0013725887761270733,1.0,percentile,0.95,1000
EBM,XGBoost,emp,-0.0004740538138679959,-0.000468907787171874,-0.0005408809493706872,-0.0003978604273951168,0.0,percentile,0.95,1000
EBM,XGBoost,f1_fix,-0.0038893359567701014,-0.0038458087730114843,-0.005229127564048894,-0.0023050033817166846,0.0,percentile,0.95,1000
EBM,XGBoost,balacc_fix,-0.004833146649871889,-0.004792582053129669,-0.006162017934405556,-0.0033177833739115037,0.0,percentile,0.95,1000
EBM,CatBoost,auc,-0.008138828874915127,-0.008088543544587322,-0.008797480696025284,-0.0073536158582514525,0.0,percentile,0.95,1000
EBM,CatBoost,pr_auc,-0.010907909755754175,-0.010854653445120484,-0.012159039211343457,-0.009587448056642722,0.0,percentile,0.95,1000
EBM,CatBoost,brier,0.0013439153638174495,0.001337393125431711,0.0012126668992859953,0.0014579407641937062,1.0,percentile,0.95,1000
EBM,CatBoost,emp,-0.0005006478753366433,-0.0004998252364588249,-0.0005656920545406082,-0.0004345386109581647,0.0,percentile,0.95,1000
EBM,CatBoost,f1_fix,-0.006050502842159355,-0.005998918195226564,-0.007483479207983104,-0.004642892012109664,0.0,percentile,0.95,1000
EBM,CatBoost,balacc_fix,-0.005431785102469666,-0.0053851497562108185,-0.006804381862648609,-0.004093202877927541,0.0,percentile,0.95,1000
XGBoost,CatBoost,auc,-0.0003630974598313186,-0.00036126232789406596,-0.0008188983703476593,8.867263736804228e-05,0.061,percentile,0.95,1000
XGBoost,CatBoost,pr_auc,-0.0007810139481370104,-0.0008037078493055423,-0.0016612530448549406,7.345797985419112e-05,0.039,percentile,0.95,1000
XGBoost,CatBoost,brier,9.423277261788598e-05,9.683685717333315e-05,1.9908422546851407e-05,0.00017929953912367152,0.994,percentile,0.95,1000
XGBoost,CatBoost,emp,-2.6594061468647456e-05,-3.09174492869509e-05,-7.816962415754014e-05,1.4571594680350909e-05,0.089,percentile,0.95,1000
XGBoost,CatBoost,f1_fix,-0.002161166885389254,-0.0021531094222150796,-0.0033459022583649358,-0.0010137897842568287,0.0,percentile,0.95,1000
XGBoost,CatBoost,balacc_fix,-0.0005986384525977773,-0.0005925677030811494,-0.0017108909421379103,0.0004950813309161638,0.141,percentile,0.95,1000
