model,metric,point,bootstrap_mean,ci_low,ci_high,ci_method,ci_level,n_bootstrap
LR,auc,0.7075138781678201,0.7074959383742305,0.7050342714443802,0.7097813887278688,percentile,0.95,1000
LR,pr_auc,0.37743482594143074,0.377462303411287,0.3740574564047226,0.3808293802042029,percentile,0.95,1000
LR,brier,0.14506120605148284,0.14506314036238688,0.14470059686335449,0.14543086281379336,percentile,0.95,1000
LR,emp,0.02349952902083223,0.023515907444904293,0.02335294618673993,0.023671909006094477,percentile,0.95,1000
LR,f1_fix,0.425057486446407,0.42505453926876635,0.42286711847830855,0.4274136143953281,percentile,0.95,1000
LR,balacc_fix,0.6496719486935414,0.6496671381792719,0.6475534969998967,0.6519531125390086,percentile,0.95,1000
EBM,auc,0.7206555169760356,0.7206542856080623,0.718358512482753,0.7230438960818257,percentile,0.95,1000
EBM,pr_auc,0.3938107228760991,0.3938850843769666,0.390414023487967,0.3975264996679703,percentile,0.95,1000
EBM,brier,0.14309873441578388,0.14309705964995872,0.14269463174921163,0.14345907665229793,percentile,0.95,1000
EBM,emp,0.024326074126522067,0.024342647037357182,0.024187964073143095,0.024501626777519825,percentile,0.95,1000
EBM,f1_fix,0.436659803802834,0.43669488324538064,0.43433225122803204,0.43898831210082345,percentile,0.95,1000
EBM,balacc_fix,0.6606000642947176,0.6606305735126855,0.6583651677294283,0.6628223620602558,percentile,0.95,1000
XGBoost,auc,0.7284312483911194,0.7283815668247555,0.726127432375796,0.7307250733764113,percentile,0.95,1000
XGBoost,pr_auc,0.40393761868371625,0.40393602997278155,0.400418387523324,0.40754849156155687,percentile,0.95,1000
XGBoost,brier,0.14184905182458432,0.1418565033817004,0.14146124414181444,0.14222633878677313,percentile,0.95,1000
XGBoost,emp,0.024800127940390063,0.02481155482452906,0.02465790303610841,0.02496756444933776,percentile,0.95,1000
XGBoost,f1_fix,0.4405491397596041,0.4405406920183921,0.4384244803039217,0.44267446982604797,percentile,0.95,1000
XGBoost,balacc_fix,0.6654332109445895,0.665423155565815,0.663306333891943,0.6675028876544461,percentile,0.95,1000
CatBoost,auc,0.7287943458509507,0.7287428291526497,0.7265616741417847,0.7310058218421724,percentile,0.95,1000
CatBoost,pr_auc,0.40471863263185326,0.4047397378220871,0.40110304524015844,0.40837983260406274,percentile,0.95,1000
CatBoost,brier,0.14175481905196644,0.14175966652452707,0.1413594843142819,0.1421301342490483,percentile,0.95,1000
CatBoost,emp,0.02482672200185871,0.024842472273816005,0.02469432428549491,0.024996418213807266,percentile,0.95,1000
CatBoost,f1_fix,0.44271030664499333,0.44269380144060716,0.44050543367099865,0.4450239950033809,percentile,0.95,1000
CatBoost,balacc_fix,0.6660318493971873,0.6660157232688964,0.6639170125634023,0.6682471464680867,percentile,0.95,1000
