model,feature,mean_abs_attribution,point_rank,in_top10_frequency,rank_ci_low,rank_median,rank_ci_high
LR,term,0.3402685821056366,1,1.0,1.0,1.0,1.0
LR,loan_amnt,0.20056332647800446,2,1.0,2.0,2.0,2.0
LR,dti,0.19222724437713623,3,1.0,3.0,3.0,3.0
LR,total_acc,0.17250122129917145,4,1.0,4.0,4.0,4.0
LR,addr_state,0.1638486385345459,5,1.0,5.0,5.0,5.0
LR,purpose,0.15603354573249817,6,1.0,6.0,6.0,6.0
LR,total_il_high_credit_limit,0.14278735220432281,7,1.0,7.0,7.0,9.0
LR,home_ownership,0.14267680048942566,8,1.0,7.0,8.0,9.0
LR,acc_open_past_24mths,0.13918042182922363,9,1.0,7.0,9.0,9.0
LR,total_bal_ex_mort,0.12891125679016113,10,0.887,10.0,10.0,11.0
LR,credit_history_months,0.12423422187566757,11,0.113,10.0,11.0,11.0
LR,mo_sin_old_rev_tl_op,0.11065780371427536,12,0.0,12.0,12.0,12.0
LR,total_bc_limit,0.09567413479089737,13,0.0,13.0,13.0,15.0
LR,percent_bc_gt_75,0.09255517274141312,14,0.0,13.0,14.0,16.0
LR,fico_range_low,0.09092006087303162,15,0.0,14.0,15.0,15.0
LR,fico_range_high,0.09063895046710968,16,0.0,15.0,16.0,16.0
LR,verification_status,0.08646116405725479,17,0.0,17.0,17.0,18.0
LR,annual_inc,0.08490826934576035,18,0.0,17.0,18.0,18.0
LR,inq_last_6mths,0.06861763447523117,19,0.0,19.0,19.0,20.0
LR,num_sats,0.06749922782182693,20,0.0,19.0,20.0,20.0
LR,delinq_2yrs,0.06155433505773544,21,0.0,21.0,21.0,21.0
LR,bc_util,0.05065169185400009,22,0.0,22.0,22.0,22.0
LR,revol_bal,0.045363496989011765,23,0.0,23.0,23.0,25.0
LR,avg_cur_bal,0.04462551698088646,24,0.0,23.0,24.0,25.0
LR,num_actv_rev_tl,0.0440712608397007,25,0.0,23.0,25.0,25.0
LR,mths_since_recent_inq,0.04109194129705429,26,0.0,26.0,26.0,28.0
LR,mort_acc,0.04077563062310219,27,0.0,26.0,27.0,29.0
LR,num_tl_op_past_12m,0.039767224341630936,28,0.0,26.0,28.0,29.0
LR,num_il_tl,0.03938280791044235,29,0.0,27.0,29.0,29.0
LR,num_bc_sats,0.03583303838968277,30,0.0,30.0,30.0,31.0
LR,mths_since_recent_bc,0.03451741114258766,31,0.0,30.0,31.0,32.0
LR,total_rev_hi_lim,0.033125221729278564,32,0.0,31.0,32.0,33.0
LR,revol_util,0.03122663125395775,33,0.0,32.0,33.0,33.0
LR,open_acc,0.0272833239287138,34,0.0,34.0,34.0,34.0
LR,mo_sin_old_il_acct,0.025519225746393204,35,0.0,35.0,35.0,35.0
LR,emp_length,0.02214844338595867,36,0.0,36.0,36.0,37.0
LR,tot_hi_cred_lim,0.021895572543144226,37,0.0,36.0,37.0,37.0
LR,tot_cur_bal,0.020730113610625267,38,0.0,38.0,38.0,39.0
