candidate_index,params,mean_validation_auc,std_validation_auc,sklearn_rank,mean_fit_time_seconds,mean_score_time_seconds,fold1_validation_auc,fold2_validation_auc,fold3_validation_auc,fold4_validation_auc,fold5_validation_auc
0,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 5}",0.7753720238095237,0.033847543177287234,1,2.127516984939575,0.00882420539855957,0.7819940476190476,0.7252604166666666,0.8100818452380952,0.7486979166666666,0.8108258928571429
1,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 5}",0.7730654761904762,0.03624875226320446,6,1.5019085884094239,0.008386468887329102,0.7767857142857143,0.7371651785714286,0.8145461309523809,0.7265625,0.8102678571428571
2,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 5}",0.7699032738095237,0.03162858825421472,8,1.1885747909545898,0.008934307098388671,0.7890624999999999,0.7250744047619048,0.7842261904761905,0.7412574404761904,0.8098958333333334
3,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 5}",0.7732886904761905,0.040225632436605464,5,0.800089979171753,0.008585834503173828,0.7983630952380952,0.7176339285714286,0.8069196428571428,0.7315848214285714,0.8119419642857143
4,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 5}",0.773735119047619,0.031295937749176654,3,1.2060637950897217,0.008353185653686524,0.7877604166666666,0.7297247023809524,0.7922247023809524,0.7451636904761905,0.8138020833333334
5,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 2}",0.7689360119047619,0.0405310336718868,10,0.9575128078460693,0.008432722091674805,0.7903645833333334,0.7122395833333333,0.7979910714285715,0.7291666666666667,0.8149181547619047
6,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 5}",0.7671502976190475,0.0408265240791023,12,0.7944928169250488,0.00859074592590332,0.7888764880952381,0.7094494047619048,0.7991071428571428,0.7273065476190476,0.8110119047619048
7,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 2}",0.7717633928571428,0.035868188978311996,7,1.5528803825378419,0.008627986907958985,0.7879464285714285,0.7155877976190476,0.8058035714285715,0.7444196428571429,0.8050595238095238
8,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 2}",0.7625,0.037105043793369666,18,1.416266632080078,0.008503007888793945,0.7875744047619048,0.7144717261904762,0.7793898809523809,0.7228422619047619,0.8082217261904762
9,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 5}",0.7740327380952381,0.036651879362059665,2,1.3041267395019531,0.008655071258544922,0.7782738095238096,0.7235863095238095,0.8043154761904763,0.7425595238095238,0.8214285714285714
