candidate_index,params,mean_validation_auc,std_validation_auc,sklearn_rank,mean_fit_time_seconds,mean_score_time_seconds,fold1_validation_auc,fold2_validation_auc,fold3_validation_auc,fold4_validation_auc,fold5_validation_auc
0,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7770833333333333,0.030864212724293124,12,0.13817607797682285,0.0031019367277622225,0.7912946428571429,0.7421875,0.7793898809523809,0.7464657738095238,0.826078869047619
1,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7685639880952382,0.03064252421298121,28,0.1824919480830431,0.0033862799406051635,0.792782738095238,0.7321428571428572,0.7501860119047619,0.7524181547619048,0.8152901785714286
2,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7690848214285715,0.04059725908336918,27,0.2483045157045126,0.004481349885463714,0.8058035714285714,0.7421874999999999,0.7563244047619048,0.7157738095238095,0.8253348214285715
3,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7753720238095239,0.03832072779883013,14,0.13944134190678598,0.003878297656774521,0.7912946428571429,0.7393973214285714,0.76953125,0.7362351190476191,0.8404017857142858
4,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.770033482142857,0.044774328979194505,25,0.11338465064764022,0.002870744466781616,0.7907366071428572,0.7302827380952379,0.7652529761904762,0.7198660714285714,0.8440290178571429
5,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7698660714285714,0.02891714053749228,26,0.1615756031125784,0.003375900909304619,0.8022693452380952,0.7490699404761906,0.7553943452380952,0.7360491071428571,0.8065476190476191
6,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7775669642857144,0.03642194795158366,11,0.15897556394338608,0.0035396214574575425,0.8039434523809524,0.7440476190476191,0.7514880952380952,0.751860119047619,0.8364955357142857
7,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7779389880952381,0.03575614292884752,10,0.15093395113945007,0.0032351620495319365,0.7825520833333334,0.747674851190476,0.7749255952380952,0.7420944940476191,0.8424479166666666
8,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.783203125,0.036606084237500024,1,0.1349797822535038,0.0038762867450714113,0.7912946428571429,0.7435825892857143,0.7832961309523809,0.7511160714285714,0.8467261904761905
9,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7722284226190477,0.03537523915735486,20,0.11640209592878818,0.0026412997394800186,0.7788318452380952,0.7453497023809524,0.761346726190476,0.7383742559523809,0.8372395833333334
10,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7793340773809524,0.03916624545203377,8,0.1759236041456461,0.0047899425029754635,0.7800409226190476,0.7444196428571429,0.7756696428571429,0.7447916666666666,0.8517485119047619
11,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7705171130952381,0.04172722600037156,24,0.12258358001708984,0.0030615944415330887,0.7840401785714285,0.7328869047619048,0.7613467261904762,0.730282738095238,0.8440290178571429
12,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7831101190476191,0.035989914822941504,2,0.12776716463267804,0.003676920011639595,0.7938988095238095,0.7468377976190476,0.7844122023809524,0.7464657738095238,0.8439360119047619
