model_a,model_b,metric,delta_point,delta_bootstrap_mean,delta_ci_low,delta_ci_high,share_delta_positive,ci_method,ci_level,n_bootstrap
LR,EBM,auc,-0.0033333333333332993,-0.0037176190476190503,-0.03679166666666658,0.027023809523809457,0.408,percentile,0.95,1000
LR,EBM,pr_auc,0.050840898269168155,0.046217188041468585,-0.026130245668020184,0.12063392314465797,0.88,percentile,0.95,1000
LR,EBM,brier,-0.0011213273591872408,-0.0011984416559096996,-0.016058531362654848,0.014775300826053167,0.426,percentile,0.95,1000
LR,EBM,emp,0.0008750453354888915,-1.80855223583343e-05,-0.0049534308524655,0.004635295898885779,0.523,percentile,0.95,1000
LR,EBM,f1_fix,0.02995670995670996,0.02930671501411346,-0.02144439119321483,0.08075668238993704,0.867,percentile,0.95,1000
LR,EBM,balacc_fix,0.026190476190476097,0.025628571428571428,-0.01904761904761909,0.0702678571428572,0.865,percentile,0.95,1000
LR,XGBoost,auc,0.0009523809523810378,0.0007111904761904762,-0.03619345238095219,0.03477678571428571,0.529,percentile,0.95,1000
LR,XGBoost,pr_auc,0.014783444084591979,0.01347358756437989,-0.048935731835930044,0.07175663429867926,0.68,percentile,0.95,1000
LR,XGBoost,brier,-0.007013350317586264,-0.006985462463156184,-0.021541848590313224,0.00783966517358542,0.163,percentile,0.95,1000
LR,XGBoost,emp,0.002124540807994943,0.001449985485845454,-0.003872538047812084,0.006900463102996401,0.695,percentile,0.95,1000
LR,XGBoost,f1_fix,0.03361502347417844,0.03373707851167719,-0.020753401257636913,0.09067604355716878,0.864,percentile,0.95,1000
LR,XGBoost,balacc_fix,0.030952380952380953,0.031025,-0.015505952380952323,0.08095238095238089,0.885,percentile,0.95,1000
LR,CatBoost,auc,-0.025119047619047485,-0.025927738095238097,-0.06643154761904758,0.010717261904761974,0.101,percentile,0.95,1000
LR,CatBoost,pr_auc,-0.0391600512189324,-0.039778830533882356,-0.11972768275663036,0.035864039618902534,0.161,percentile,0.95,1000
LR,CatBoost,brier,0.004356873122528304,0.004506075929452866,-0.015049897608580247,0.025221959208434404,0.675,percentile,0.95,1000
LR,CatBoost,emp,0.0004188114710403923,-0.0006629592516794332,-0.006428235512951987,0.004478141113368028,0.418,percentile,0.95,1000
LR,CatBoost,f1_fix,0.01398907103825131,0.013490606606280568,-0.06338885825187197,0.09470228535985492,0.606,percentile,0.95,1000
LR,CatBoost,balacc_fix,0.01904761904761898,0.018445238095238098,-0.04047619047619044,0.08101190476190485,0.705,percentile,0.95,1000
EBM,XGBoost,auc,0.004285714285714337,0.004428809523809527,-0.02560416666666668,0.03369642857142854,0.623,percentile,0.95,1000
EBM,XGBoost,pr_auc,-0.036057454184576176,-0.03274360047708869,-0.10853945164757307,0.044944673285163675,0.219,percentile,0.95,1000
EBM,XGBoost,brier,-0.005892022958399024,-0.0057870208072464836,-0.018556872851223042,0.006894118860091526,0.209,percentile,0.95,1000
EBM,XGBoost,emp,0.0012494954725060514,0.0014680710082037884,-0.0024802854545174333,0.005426427186138722,0.777,percentile,0.95,1000
EBM,XGBoost,f1_fix,0.003658313517468481,0.00443036349756373,-0.04160483257229832,0.05854855797196438,0.551,percentile,0.95,1000
EBM,XGBoost,balacc_fix,0.004761904761904856,0.0053964285714285755,-0.0357142857142857,0.05357142857142849,0.563,percentile,0.95,1000
EBM,CatBoost,auc,-0.021785714285714186,-0.022210119047619045,-0.06142857142857139,0.016910714285714352,0.146,percentile,0.95,1000
EBM,CatBoost,pr_auc,-0.09000094948810056,-0.08599601857535094,-0.17611309446433088,0.00014308347287042753,0.026,percentile,0.95,1000
EBM,CatBoost,brier,0.005478200481715545,0.005704517585362566,-0.012941851335979623,0.02391101833337643,0.722,percentile,0.95,1000
EBM,CatBoost,emp,-0.0004562338644484992,-0.0006448737293210989,-0.005685199607250345,0.004335746658433988,0.403,percentile,0.95,1000
EBM,CatBoost,f1_fix,-0.01596763891845865,-0.01581610840783289,-0.08768461303284415,0.06428448386163939,0.327,percentile,0.95,1000
EBM,CatBoost,balacc_fix,-0.0071428571428571175,-0.0071833333333333315,-0.0630952380952381,0.05360119047619048,0.38,percentile,0.95,1000
XGBoost,CatBoost,auc,-0.026071428571428523,-0.02663892857142857,-0.05763095238095244,0.0058422619047619195,0.048,percentile,0.95,1000
XGBoost,CatBoost,pr_auc,-0.05394349530352438,-0.05325241809826224,-0.11900979570421327,0.012524207953969925,0.057,percentile,0.95,1000
XGBoost,CatBoost,brier,0.011370223440114569,0.01149153839260905,-0.0036066512071907747,0.026074909151323017,0.925,percentile,0.95,1000
XGBoost,CatBoost,emp,-0.0017057293369545506,-0.002112944737524887,-0.007031954627213755,0.002926475143940044,0.212,percentile,0.95,1000
XGBoost,CatBoost,f1_fix,-0.01962595243592713,-0.020246471905396624,-0.0986112940914761,0.06222176403717983,0.298,percentile,0.95,1000
XGBoost,CatBoost,balacc_fix,-0.011904761904761973,-0.012579761904761906,-0.07264880952380959,0.05119047619047623,0.326,percentile,0.95,1000
