model,metric,point,bootstrap_mean,ci_low,ci_high,ci_method,ci_level,n_bootstrap
LR,auc,0.8152380952380953,0.8156661904761904,0.7473749999999999,0.8774017857142857,percentile,0.95,1000
LR,pr_auc,0.670154855684845,0.6760105892598013,0.5719726408555892,0.7724839844333967,percentile,0.95,1000
LR,brier,0.15271209257817792,0.15240894039857528,0.12626020957983822,0.18007126879548327,percentile,0.95,1000
LR,emp,0.04779948602822222,0.04898453999086023,0.040238357373941665,0.05783854619896665,percentile,0.95,1000
LR,f1_fix,0.6533333333333333,0.654224180269886,0.5844014680971202,0.7237023414836303,percentile,0.95,1000
LR,balacc_fix,0.7619047619047619,0.7625011904761906,0.7,0.8238095238095238,percentile,0.95,1000
EBM,auc,0.8185714285714286,0.8193838095238095,0.7568869047619048,0.8747708333333333,percentile,0.95,1000
EBM,pr_auc,0.6193139574156769,0.6297934012183327,0.5274599406710236,0.7400251562605649,percentile,0.95,1000
EBM,brier,0.15383341993736516,0.15360738205448496,0.12972139474841926,0.17721398531524002,percentile,0.95,1000
EBM,emp,0.04692444069273333,0.04900262551321856,0.04170546151011419,0.05708917494296806,percentile,0.95,1000
EBM,f1_fix,0.6233766233766234,0.6249174652557725,0.5575436484045756,0.693921916592724,percentile,0.95,1000
EBM,balacc_fix,0.7357142857142858,0.7368726190476191,0.673779761904762,0.7988095238095239,percentile,0.95,1000
XGBoost,auc,0.8142857142857143,0.8149549999999999,0.7521339285714286,0.872172619047619,percentile,0.95,1000
XGBoost,pr_auc,0.655371411600253,0.6625370016954214,0.5594441563103801,0.7593320249765143,percentile,0.95,1000
XGBoost,brier,0.15972544289576418,0.15939440286173145,0.13561307837818737,0.1834893134148993,percentile,0.95,1000
XGBoost,emp,0.045674945220227275,0.04753455450501477,0.039936285662726015,0.055525336207638734,percentile,0.95,1000
XGBoost,f1_fix,0.6197183098591549,0.6204871017582089,0.5405022043319916,0.7007299270072993,percentile,0.95,1000
XGBoost,balacc_fix,0.7309523809523809,0.7314761904761905,0.6642559523809524,0.7976488095238096,percentile,0.95,1000
CatBoost,auc,0.8403571428571428,0.8415939285714286,0.7862946428571428,0.895720238095238,percentile,0.95,1000
CatBoost,pr_auc,0.7093149069037774,0.7157894197936837,0.6164994082183245,0.8070699595924423,percentile,0.95,1000
CatBoost,brier,0.1483552194556496,0.14790286446912243,0.12428596687222047,0.17093637965471062,percentile,0.95,1000
CatBoost,emp,0.047380674557181826,0.04964749924253967,0.042639227648443176,0.0576524887947345,percentile,0.95,1000
CatBoost,f1_fix,0.639344262295082,0.6407335736636054,0.55,0.7317073170731707,percentile,0.95,1000
CatBoost,balacc_fix,0.7428571428571429,0.7440559523809525,0.6785714285714286,0.8107142857142857,percentile,0.95,1000
