model,feature,mean_abs_attribution,point_rank,in_top10_frequency,rank_ci_low,rank_median,rank_ci_high
LR,checking_account,0.4153546392917633,1,1.0,1.0,1.0,2.0
LR,purpose,0.39989525079727173,2,1.0,1.0,2.0,2.0
LR,credit_history,0.19229301810264587,3,1.0,3.0,3.0,5.0
LR,personal_status_sex,0.18961910903453827,4,1.0,3.0,4.0,5.0
LR,savings_account,0.17698150873184204,5,1.0,3.0,5.0,5.0
LR,installment_rate,0.15200091898441315,6,1.0,6.0,6.0,8.0
LR,duration_months,0.14529260993003845,7,1.0,6.0,7.0,9.0
LR,other_installment,0.14174200594425201,8,1.0,6.0,8.0,9.0
LR,credit_amount,0.13400480151176453,9,1.0,7.0,9.0,10.0
LR,housing,0.11859068274497986,10,0.996,9.0,10.0,10.0
LR,employment_since,0.09703242033720016,11,0.002,11.0,11.0,13.0
LR,age,0.09323008358478546,12,0.002,11.0,12.0,13.0
LR,property,0.08839184045791626,13,0.0,11.975000381469727,13.0,14.0
LR,other_debtors,0.07496648281812668,14,0.0,13.0,14.0,14.0
LR,foreign_worker,0.044872868806123734,15,0.0,15.0,16.0,17.024999618530273
LR,telephone,0.04468059167265892,16,0.0,15.0,15.0,16.0
LR,existing_credits,0.0324179083108902,17,0.0,16.0,17.0,17.0
LR,residence_since,0.02155330590903759,18,0.0,17.975000381469727,18.0,18.0
LR,job,0.0057458593510091305,19,0.0,19.0,19.0,19.0
LR,maintenance_people,0.002192674670368433,20,0.0,20.0,20.0,20.0
EBM,checking_account,0.6354023218154907,1,1.0,1.0,1.0,1.0
EBM,purpose,0.3985075354576111,2,1.0,2.0,2.0,2.0
EBM,duration_months,0.2715499699115753,3,1.0,3.0,3.0,5.0
EBM,credit_amount,0.2617364525794983,4,1.0,3.0,4.0,5.0
EBM,savings_account,0.2284151017665863,5,1.0,4.0,5.0,5.0
EBM,personal_status_sex,0.19208942353725433,6,1.0,6.0,6.0,7.0
EBM,credit_history,0.16626301407814026,7,0.977,6.0,7.0,10.0
EBM,housing,0.16547666490077972,8,1.0,7.0,8.0,9.0
EBM,age,0.1476222574710846,9,0.646,7.0,10.0,12.0
EBM,other_installment,0.1469981074333191,10,0.662,8.0,10.0,12.0
EBM,employment_since,0.14671926200389862,11,0.655,8.0,10.0,12.0
EBM,installment_rate,0.13667204976081848,12,0.06,10.0,12.0,12.0
EBM,property,0.0948491171002388,13,0.0,13.0,13.0,13.0
EBM,residence_since,0.07484220713376999,14,0.0,14.0,14.0,15.0
EBM,other_debtors,0.06646867096424103,15,0.0,14.0,15.0,16.0
EBM,foreign_worker,0.05195426568388939,16,0.0,15.0,16.0,16.0
EBM,telephone,0.026944639161229134,17,0.0,17.0,17.0,17.0
EBM,job,0.014152215793728828,18,0.0,18.0,18.0,19.0
EBM,maintenance_people,0.012676931917667389,19,0.0,18.0,19.0,19.0
EBM,existing_credits,0.007944583892822266,20,0.0,20.0,20.0,20.0
XGBoost,checking_account,0.605331301689148,1,1.0,1.0,1.0,1.0
XGBoost,duration_months,0.21462488174438477,2,1.0,2.0,3.0,4.0
XGBoost,purpose,0.2143094688653946,3,1.0,2.0,2.0,3.0
XGBoost,savings_account,0.18838883936405182,4,1.0,3.0,4.0,4.0
XGBoost,credit_amount,0.14077988266944885,5,1.0,5.0,5.0,7.0
XGBoost,employment_since,0.12844663858413696,6,1.0,5.0,6.0,7.0
XGBoost,credit_history,0.12494757026433945,7,1.0,5.0,7.0,8.0
XGBoost,age,0.11144611984491348,8,1.0,7.0,8.0,8.0
XGBoost,other_installment,0.08689537644386292,9,1.0,9.0,9.0,10.0
XGBoost,installment_rate,0.08235061913728714,10,1.0,9.0,10.0,10.0
XGBoost,personal_status_sex,0.05547766387462616,11,0.0,11.0,11.0,12.0
XGBoost,property,0.05192546918988228,12,0.0,11.0,12.0,13.0
XGBoost,other_debtors,0.042556893080472946,13,0.0,12.0,13.0,14.0
XGBoost,housing,0.03338378667831421,14,0.0,13.0,14.0,14.0
XGBoost,residence_since,0.02380429208278656,15,0.0,15.0,15.0,16.0
XGBoost,existing_credits,0.020606039091944695,16,0.0,15.0,16.0,16.0
XGBoost,job,0.016523204743862152,17,0.0,17.0,17.0,17.0
XGBoost,maintenance_people,0.010579708963632584,18,0.0,18.0,18.0,18.0
XGBoost,telephone,0.008342718705534935,19,0.0,19.0,19.0,19.0
XGBoost,foreign_worker,0.0,20,0.0,20.0,20.0,20.0
