candidate_index,params,mean_validation_auc,std_validation_auc,sklearn_rank,mean_fit_time_seconds,mean_score_time_seconds,fold1_validation_auc,fold2_validation_auc,fold3_validation_auc,fold4_validation_auc,fold5_validation_auc
0,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 5}",0.7843889569764558,0.003382534912811321,9,5.314460229873657,0.01566309928894043,0.7855850586282885,0.7835152840627988,0.7782280573415595,0.7872269731439413,0.7873894117056908
1,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 5}",0.7840121122701135,0.0029256478042118277,12,5.4922033786773685,0.015144443511962891,0.7850059298354861,0.7834450026651512,0.778618761455364,0.7863140706884756,0.7866767967060903
2,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 5}",0.7842946825729127,0.0031701851407877914,10,3.0567486763000487,0.014835691452026368,0.7857102552398686,0.7840168262230726,0.7790258393714878,0.7839234955498524,0.7887969964802819
3,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 5}",0.7844152050021173,0.003676439646877513,7,2.35990686416626,0.01485743522644043,0.7862100340675852,0.7837896082278105,0.7775433804999602,0.7867732928673702,0.7877597093478602
4,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 5}",0.7848652989543803,0.003804587918395882,2,3.913428211212158,0.014924716949462891,0.7868934513859289,0.7840440319253879,0.7777814303952183,0.78754311348103,0.788064467584336
5,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 2}",0.7838060281025857,0.0038804254477968207,15,2.6271419525146484,0.014822912216186524,0.786221117872232,0.7825469625840984,0.7770206783489967,0.7848908094099486,0.7883505722976527
6,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 5}",0.7849038860893013,0.0034191573555973523,1,2.0908463478088377,0.014498519897460937,0.7855865700561949,0.7837432577720141,0.7789235660831547,0.7882361031761147,0.7880299333590282
7,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 2}",0.7845445970647986,0.003525891752090215,4,5.319126939773559,0.016224479675292967,0.7863707492349655,0.7836545873348387,0.7780308159997743,0.7871781036416344,0.7874887291127805
8,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 2}",0.7836524533544347,0.0033427300295230966,17,3.0951858520507813,0.015045833587646485,0.7861961793117764,0.7832850432117239,0.7777857127742864,0.7834932424058304,0.7875020890685566
9,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 5}",0.7843929584941749,0.0033161154034405493,8,3.807793140411377,0.016319751739501953,0.786032441288583,0.782919025753724,0.7787107066530035,0.7860072508234762,0.7882953679520878
10,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 2}",0.7839917002050238,0.003071414160073301,13,2.655673551559448,0.016359567642211914,0.7857127742863793,0.783327363193103,0.7782618125648025,0.7864110539791362,0.7862454970016982
11,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.005, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 5}",0.7838637583161695,0.0030739979989427707,14,7.962849807739258,0.014920425415039063,0.7845965847775027,0.7831308775652711,0.7783540096670929,0.7860543569932258,0.7871829625777556
12,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 2}",0.7840266967099246,0.0034092844701440845,11,2.730757999420166,0.015167856216430664,0.7855843029143353,0.7835324135790714,0.7778275289463634,0.7852112321261056,0.7879780059837477
13,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 2}",0.7845418526714529,0.004213922875312365,5,2.7500701904296876,0.01572585105895996,0.7871287303300254,0.7835470240488331,0.7767539113235171,0.7868468490254816,0.7884327486294073
14,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 2}",0.7845202203129424,0.0026329412855378305,6,2.5987350940704346,0.014130306243896485,0.7859034661072368,0.7829439643141795,0.7803120645198345,0.7855228381794749,0.7879187684439861
15,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.005, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 2}",0.7828154977639974,0.0031954029577870424,20,4.523857450485229,0.015552377700805664,0.7853593520609328,0.7818849571610951,0.7773607496279367,0.7829219226572112,0.7865505073128113
16,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.005, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 5}",0.7830045486304357,0.0024881068279497824,19,5.634408473968506,0.014188480377197266,0.7839746321940189,0.7817194558053441,0.7788444680227198,0.7845205095728806,0.7859636775572152
17,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 2}",0.784789962941051,0.0032012276573201923,3,2.0934802055358888,0.014874458312988281,0.7860198460560296,0.7836969073162179,0.7790719379226331,0.7872191640997582,0.7879419593106162
18,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 2}",0.7837708799819174,0.0034243611397602033,16,5.525982999801636,0.01435708999633789,0.7845550205100768,0.7828638586351403,0.7776380966487613,0.7868093152324728,0.7869881088831354
19,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 2}",0.783209337224524,0.0036050177675688625,18,3.36124472618103,0.015112781524658203,0.7859853351188335,0.7828376605514293,0.7765264414236039,0.7840597759660796,0.7866374730626741
