candidate_index,params,mean_validation_auc,std_validation_auc,sklearn_rank,mean_fit_time_seconds,mean_score_time_seconds,fold1_validation_auc,fold2_validation_auc,fold3_validation_auc,fold4_validation_auc,fold5_validation_auc
0,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7842704226227387,0.00429838286512348,8,0.2149204771965742,0.00514882318675518,0.7870284722789008,0.7817858326809003,0.7771127494989616,0.7890675144769603,0.7863575441779708
1,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7803066369250949,0.005479985925834607,26,0.3386560596525669,0.004938401654362679,0.7841002066625757,0.7742776886035313,0.7729812613168164,0.7852398233040015,0.7849342047385495
2,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7782350220972549,0.005687696625986823,29,0.3514508817344904,0.005069231986999512,0.7798796701862785,0.7726224231413719,0.7706151209293468,0.7829469871699922,0.7851109090592852
3,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.783827192693933,0.0050809667577675875,16,0.355570724979043,0.008113151416182518,0.786368482093106,0.7803097973779749,0.7756382256239426,0.7891818791885445,0.7876375791860963
4,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7842755837097413,0.005233535089620688,6,0.20328626446425915,0.004597001895308495,0.7862252742989746,0.7799644361013625,0.7764673697829287,0.7903306903497344,0.7883901480157064
5,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7770283136000782,0.00589799407357558,30,0.2526375789195299,0.004327032715082169,0.7790350338912517,0.7705927014154019,0.7695533428251006,0.782041767806384,0.7839187220622528
6,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7835942111713022,0.005331340298373445,20,0.3168141085654497,0.005964989960193634,0.7861406343362163,0.7785528883891102,0.7762964524771799,0.7906132014159055,0.7863678792380994
7,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7836240303200274,0.005850068670032563,19,0.3327003888785839,0.005090383812785149,0.7867902964313171,0.7796180672061456,0.7746199010720055,0.7913315075284223,0.7857603793622462
8,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7853880796899717,0.004256191215939323,2,0.31875380091369154,0.007678941264748574,0.7876962715088787,0.7826939489479958,0.7783283153926841,0.7895747244918832,0.7886471381084168
9,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7830371366964569,0.004945604582023253,23,0.4230097409337759,0.0058032825589179994,0.7857398540363689,0.7793979025411134,0.7752641472171086,0.7886955772596604,0.7860882024280333
10,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7842339048871115,0.004753649593795359,9,0.32399647161364553,0.007614609599113464,0.7874402104310693,0.7804817223023279,0.7767995060653602,0.7890940904176478,0.7873539952191524
11,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7841171591658699,0.0049878553858986804,12,0.19745499826967716,0.004505841061472893,0.7861133026815753,0.7803841092500394,0.7765008731015206,0.7903306903497344,0.7872568204464797
12,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7851987376100237,0.0043124755389560435,4,0.2416398398578167,0.0061292916536331175,0.7867663654894658,0.7820748932679995,0.7784634622379815,0.7886257996713149,0.7900631673833569
13,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7835756614127909,0.00367339752719938,21,0.17704248949885368,0.004872560873627663,0.7858452761328405,0.7809503909056377,0.7777554842161585,0.7877773848065223,0.7855497710027957
14,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7845069916395979,0.004335633791140953,5,0.189835150167346,0.005087362602353096,0.7875599910926514,0.7813408431147909,0.7775977919045907,0.7890787242339328,0.7869576078520241
15,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7838633956204712,0.004645882871272389,14,0.23593416213989257,0.006013883277773857,0.7851962437993669,0.7801230100792088,0.7770699257082804,0.7898191979557434,0.787108600559757
16,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7855372172260708,0.0040796763699152494,1,0.26680375449359417,0.005381036177277565,0.7873148878671636,0.7822104179702731,0.7793131366260293,0.7895661597337469,0.7892814839331408
17,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7789047679800637,0.0052785185943253765,28,0.260012336820364,0.004314998909831047,0.78147170758102,0.7752180486659633,0.7704091888770997,0.7843167187101676,0.7831081760660679
18,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7840972795957107,0.004752962478770095,13,0.2681924182921648,0.006519263610243797,0.7864798239488774,0.7802662178733404,0.7767620982246769,0.7888193883956596,0.7881588695359987
