model_a,model_b,metric,delta_point,delta_bootstrap_mean,delta_ci_low,delta_ci_high,share_delta_positive,ci_method,ci_level,n_bootstrap
LR,EBM,auc,-0.07215543895562548,-0.07197647922431463,-0.08464339466521184,-0.05886202963971869,0.0,percentile,0.95,1000
LR,EBM,pr_auc,-0.05755549660135567,-0.05696208439304248,-0.07426753377493829,-0.038386622092948415,0.0,percentile,0.95,1000
LR,EBM,brier,0.007031385310278859,0.00698456937120463,0.004854073932294584,0.008976259019363024,1.0,percentile,0.95,1000
LR,EBM,emp,-0.003755501633409014,-0.0037355127118539524,-0.00474216827830555,-0.0027128168119149787,0.0,percentile,0.95,1000
LR,EBM,f1_fix,-0.040785922108879324,-0.04060047913325971,-0.056954571209879575,-0.025241185557692294,0.0,percentile,0.95,1000
LR,EBM,balacc_fix,-0.03536969662176093,-0.035216895275025875,-0.04635612138612831,-0.024766512107343985,0.0,percentile,0.95,1000
LR,XGBoost,auc,-0.07053378359963947,-0.07041774340271222,-0.08351678685827021,-0.057565243568409405,0.0,percentile,0.95,1000
LR,XGBoost,pr_auc,-0.0628142192395637,-0.06221731512442014,-0.07886945870217378,-0.0454524077320017,0.0,percentile,0.95,1000
LR,XGBoost,brier,0.007475023343019249,0.007448844223685542,0.005495204036762928,0.009331641677518588,1.0,percentile,0.95,1000
LR,XGBoost,emp,-0.003356650041025637,-0.003327127128942757,-0.004325443302202075,-0.002312422991543971,0.0,percentile,0.95,1000
LR,XGBoost,f1_fix,-0.03970207831593975,-0.03946562707534853,-0.05646372402500192,-0.024395302966776247,0.0,percentile,0.95,1000
LR,XGBoost,balacc_fix,-0.03340697115062863,-0.03321828680884318,-0.04477775290752205,-0.022518811669790632,0.0,percentile,0.95,1000
LR,CatBoost,auc,-0.0709585489345308,-0.07084539428753515,-0.08375083916955643,-0.05870857630883434,0.0,percentile,0.95,1000
LR,CatBoost,pr_auc,-0.06181607009310036,-0.0613389242877486,-0.07680727812390442,-0.0451840086928615,0.0,percentile,0.95,1000
LR,CatBoost,brier,0.007465145426828024,0.00743310237873366,0.005664909101088692,0.009194121125765791,1.0,percentile,0.95,1000
LR,CatBoost,emp,-0.004010842286102139,-0.003984061837058698,-0.005001019699142787,-0.0029770708345818256,0.0,percentile,0.95,1000
LR,CatBoost,f1_fix,-0.04878356617487056,-0.04890121173833984,-0.06545877920191885,-0.03230794573499322,0.0,percentile,0.95,1000
LR,CatBoost,balacc_fix,-0.041830919207343276,-0.04190742784593178,-0.05338304867014098,-0.030664656556907685,0.0,percentile,0.95,1000
EBM,XGBoost,auc,0.001621655355986018,0.0015587358216024214,-0.0024113899034537644,0.0051835098324144084,0.791,percentile,0.95,1000
EBM,XGBoost,pr_auc,-0.005258722638208035,-0.005255230731377678,-0.016424883388987097,0.005331497180983837,0.175,percentile,0.95,1000
EBM,XGBoost,brier,0.00044363803274038993,0.00046427485248091207,-0.0006404077679358258,0.0016601726756578486,0.78,percentile,0.95,1000
EBM,XGBoost,emp,0.00039885159238337714,0.0004083855829111952,-0.00014409095762521584,0.0009855421563397305,0.931,percentile,0.95,1000
EBM,XGBoost,f1_fix,0.0010838437929395761,0.0011348520579111826,-0.008671900124335514,0.010480268371355987,0.598,percentile,0.95,1000
EBM,XGBoost,balacc_fix,0.0019627254711322983,0.0019986084661826947,-0.0054622298309436705,0.008940782164887298,0.701,percentile,0.95,1000
EBM,CatBoost,auc,0.0011968900210946876,0.0011310849367794672,-0.0024218114903056254,0.004891473585772479,0.722,percentile,0.95,1000
EBM,CatBoost,pr_auc,-0.00426057349174469,-0.00437683989470613,-0.014278248107946617,0.0049257908371071754,0.188,percentile,0.95,1000
EBM,CatBoost,brier,0.00043376011654916447,0.0004485330075290306,-0.000505649360086921,0.001531079267006808,0.791,percentile,0.95,1000
EBM,CatBoost,emp,-0.000255340652693125,-0.00024854912520474515,-0.0007490824875630863,0.00022975268749756564,0.166,percentile,0.95,1000
EBM,CatBoost,f1_fix,-0.007997644065991238,-0.008300732605080128,-0.016960966161708925,-0.00018307658550295914,0.024,percentile,0.95,1000
EBM,CatBoost,balacc_fix,-0.006461222585582349,-0.006690532570905897,-0.013386502105845901,-0.0005944457013957996,0.019,percentile,0.95,1000
XGBoost,CatBoost,auc,-0.0004247653348913305,-0.00042765088482295423,-0.00363923223907609,0.003174701595901749,0.38,percentile,0.95,1000
XGBoost,CatBoost,pr_auc,0.0009981491464633452,0.0008783908366715468,-0.0074903573982336765,0.009512031354827418,0.567,percentile,0.95,1000
XGBoost,CatBoost,brier,-9.877916191225466e-06,-1.574184495188144e-05,-0.0009174961508053581,0.0008768802542326848,0.496,percentile,0.95,1000
XGBoost,CatBoost,emp,-0.0006541922450765021,-0.0006569347081159403,-0.001194160178532207,-0.0001658778667145478,0.006,percentile,0.95,1000
XGBoost,CatBoost,f1_fix,-0.009081487858930815,-0.00943558466299131,-0.01818619264799757,-0.0005839542589475702,0.015,percentile,0.95,1000
XGBoost,CatBoost,balacc_fix,-0.008423948056714647,-0.008689141037088594,-0.015103005996867268,-0.0021789865008801862,0.007,percentile,0.95,1000
