model,metric,point,bootstrap_mean,ci_low,ci_high,ci_method,ci_level,n_bootstrap
LR,auc,0.7045266857934702,0.704544105768181,0.6872495271381347,0.721692248806698,percentile,0.95,1000
LR,pr_auc,0.4814170914146126,0.4825547146202156,0.4563085704492564,0.5082229303324732,percentile,0.95,1000
LR,brier,0.1448306358621215,0.1448205164736285,0.1407855922287057,0.14901202501380212,percentile,0.95,1000
LR,emp,0.01929577260735281,0.01950940770373173,0.017922285401418075,0.0211001468259875,percentile,0.95,1000
LR,f1_fix,0.49099099099099097,0.4910098156647218,0.46879310674232433,0.5129016357508217,percentile,0.95,1000
LR,balacc_fix,0.6733411051091014,0.6733708058656318,0.6588064243257334,0.6878128330573864,percentile,0.95,1000
EBM,auc,0.7766821247490957,0.7765205849924958,0.761670252203208,0.7902673687335623,percentile,0.95,1000
EBM,pr_auc,0.5389725880159683,0.539516799013258,0.5125391341739729,0.5669222930326001,percentile,0.95,1000
EBM,brier,0.13779925055184264,0.13783594710242386,0.13365405975476613,0.14219931700664404,percentile,0.95,1000
EBM,emp,0.023051274240761824,0.023244920415585683,0.021705238332264724,0.024792144114608082,percentile,0.95,1000
EBM,f1_fix,0.5317769130998703,0.5316102947979815,0.5124342751588504,0.5505201090655663,percentile,0.95,1000
EBM,balacc_fix,0.7087108017308623,0.7085877011406578,0.6943367484423255,0.7227375500941692,percentile,0.95,1000
XGBoost,auc,0.7750604693931097,0.7749618491708933,0.7598024135669468,0.7892775760025971,percentile,0.95,1000
XGBoost,pr_auc,0.5442313106541763,0.5447720297446357,0.5189973700230737,0.570378905685485,percentile,0.95,1000
XGBoost,brier,0.13735561251910225,0.13737167224994298,0.13310613428205373,0.14162626558874894,percentile,0.95,1000
XGBoost,emp,0.022652422648378447,0.022836534832674487,0.021258028883522153,0.02444779307373653,percentile,0.95,1000
XGBoost,f1_fix,0.5306930693069307,0.5304754427400703,0.5112363879660392,0.5506327935508994,percentile,0.95,1000
XGBoost,balacc_fix,0.70674807625973,0.7065890926744751,0.6923255636002232,0.7213996521729876,percentile,0.95,1000
CatBoost,auc,0.775485234728001,0.7753895000557163,0.7607857013731983,0.789694151220007,percentile,0.95,1000
CatBoost,pr_auc,0.543233161507713,0.5438936389079642,0.5170846090589526,0.5715809891217353,percentile,0.95,1000
CatBoost,brier,0.13736549043529347,0.13738741409489486,0.13316397744854316,0.14172036621853415,percentile,0.95,1000
CatBoost,emp,0.02330661489345495,0.02349346954079043,0.02189570352369249,0.025069258066283018,percentile,0.95,1000
CatBoost,f1_fix,0.5397745571658615,0.5399110274030616,0.5221042712023211,0.5591071570234482,percentile,0.95,1000
CatBoost,balacc_fix,0.7151720243164447,0.7152782337115636,0.7017702083236913,0.7297390624135734,percentile,0.95,1000
