model,feature,mean_abs_attribution,point_rank,in_top10_frequency,rank_ci_low,rank_median,rank_ci_high
LR,PAY_0,0.4257737994194031,1,1.0,1.0,1.0,1.0
LR,BILL_AMT1,0.24597522616386414,2,1.0,2.0,2.0,2.0
LR,BILL_AMT5,0.10859925299882889,3,1.0,3.0,3.0,3.0
LR,BILL_AMT2,0.10509414225816727,4,1.0,4.0,4.0,4.0
LR,MARRIAGE,0.08896780759096146,5,1.0,5.0,6.0,7.0
LR,LIMIT_BAL,0.0887436494231224,6,1.0,5.0,6.0,7.0
LR,EDUCATION,0.08846849203109741,7,1.0,5.0,6.0,7.0
LR,BILL_AMT6,0.07999366521835327,8,1.0,8.0,8.0,9.0
LR,PAY_2,0.07939820736646652,9,1.0,8.0,9.0,9.0
LR,PAY_AMT2,0.06897728890180588,10,0.883,10.0,10.0,11.0
LR,SEX,0.06462995707988739,11,0.113,10.0,11.0,11.0
LR,PAY_AMT1,0.058059073984622955,12,0.004,11.0,12.0,14.0
LR,AGE,0.05652705579996109,13,0.0,12.0,13.0,14.0
LR,BILL_AMT3,0.05518174543976784,14,0.0,12.0,14.0,14.0
LR,PAY_3,0.049989957362413406,15,0.0,15.0,15.0,15.0
LR,PAY_AMT4,0.028403963893651962,16,0.0,16.0,16.0,17.0
LR,PAY_5,0.026899142190814018,17,0.0,16.0,17.0,17.0
LR,PAY_6,0.01825225166976452,18,0.0,18.0,18.0,18.0
LR,PAY_AMT6,0.01587061397731304,19,0.0,19.0,19.0,20.0
LR,PAY_AMT5,0.014732880517840385,20,0.0,19.0,20.0,20.0
LR,PAY_4,0.009194580838084221,21,0.0,21.0,21.0,21.0
LR,PAY_AMT3,0.007122477516531944,22,0.0,22.0,22.0,22.0
LR,BILL_AMT4,0.0016675316728651524,23,0.0,23.0,23.0,23.0
EBM,PAY_0,0.4590582549571991,1,1.0,1.0,1.0,1.0
EBM,LIMIT_BAL,0.2039192020893097,2,1.0,2.0,2.0,2.0
EBM,BILL_AMT1,0.1281273365020752,3,1.0,3.0,3.0,5.0
EBM,PAY_2,0.12757323682308197,4,1.0,3.0,4.0,5.0
EBM,PAY_AMT2,0.124256432056427,5,1.0,3.0,5.0,5.0
EBM,PAY_AMT1,0.11859159916639328,6,1.0,6.0,6.0,6.0
EBM,PAY_3,0.09847763180732727,7,1.0,7.0,7.0,7.0
EBM,PAY_AMT4,0.09129410982131958,8,1.0,8.0,8.0,8.0
EBM,MARRIAGE,0.08574968576431274,9,1.0,9.0,9.0,10.0
EBM,PAY_4,0.08343657851219177,10,1.0,9.0,10.0,10.0
EBM,PAY_AMT3,0.07091569155454636,11,0.0,11.0,11.0,14.0
EBM,SEX,0.07037409394979477,12,0.0,11.0,12.0,14.0
EBM,PAY_5,0.06928998976945877,13,0.0,11.0,13.0,14.0
EBM,PAY_6,0.0683484897017479,14,0.0,11.975000381469727,14.0,15.0
EBM,PAY_AMT6,0.06588204950094223,15,0.0,14.0,15.0,15.0
EBM,BILL_AMT2,0.05635789409279823,16,0.0,16.0,16.0,16.0
EBM,PAY_AMT5,0.04888339340686798,17,0.0,17.0,17.0,18.0
EBM,EDUCATION,0.044926825910806656,18,0.0,17.0,18.0,19.024999618530273
EBM,BILL_AMT6,0.042691126465797424,19,0.0,18.0,19.0,19.0
EBM,BILL_AMT4,0.040154051035642624,20,0.0,19.975000381469727,20.0,20.0
EBM,AGE,0.03377920389175415,21,0.0,21.0,21.0,22.0
EBM,BILL_AMT3,0.03215315565466881,22,0.0,21.0,22.0,22.0
EBM,BILL_AMT5,0.02833821065723896,23,0.0,23.0,23.0,23.0
XGBoost,PAY_0,0.4694039821624756,1,1.0,1.0,1.0,1.0
XGBoost,LIMIT_BAL,0.1794402301311493,2,1.0,2.0,2.0,2.0
XGBoost,PAY_2,0.13934481143951416,3,1.0,3.0,3.0,3.0
XGBoost,BILL_AMT1,0.11798226833343506,4,1.0,4.0,4.0,4.0
