dataset,model,n_train,rep,auc,n_encoded_features,top10,elapsed_seconds
home_credit,LR,10000,0,0.7208662768923659,190,AMT_CREDIT|AMT_GOODS_PRICE|ORGANIZATION_TYPE|FLAG_DOCUMENT_3|EXT_SOURCE_2|NAME_TYPE_SUITE|EXT_SOURCE_3|OCCUPATION_TYPE|CODE_GENDER|FLAG_DOCUMENT_8,0.5307607650756836
home_credit,EBM,10000,0,0.7276777657262445,190,EXT_SOURCE_2|EXT_SOURCE_3|ORGANIZATION_TYPE|CODE_GENDER|OCCUPATION_TYPE|DAYS_EMPLOYED|NAME_EDUCATION_TYPE|AMT_CREDIT|FLAG_OWN_CAR|NAME_FAMILY_STATUS,8.027506113052368
home_credit,XGBoost,10000,0,0.6880435181827642,190,EXT_SOURCE_2|EXT_SOURCE_3|AMT_CREDIT|AMT_GOODS_PRICE|DAYS_EMPLOYED|DAYS_LAST_PHONE_CHANGE|DAYS_ID_PUBLISH|ORGANIZATION_TYPE|DAYS_BIRTH|CODE_GENDER,1.077664852142334
home_credit,CatBoost,10000,0,0.7015964273883365,190,EXT_SOURCE_2|EXT_SOURCE_3|DAYS_EMPLOYED|DAYS_BIRTH|DAYS_LAST_PHONE_CHANGE|AMT_CREDIT|WEEKDAY_APPR_PROCESS_START|CODE_GENDER|OCCUPATION_TYPE|NAME_EDUCATION_TYPE,2.286440372467041
home_credit,LR,10000,1,0.7202531128348045,187,AMT_CREDIT|AMT_GOODS_PRICE|EXT_SOURCE_3|OBS_60_CNT_SOCIAL_CIRCLE|OBS_30_CNT_SOCIAL_CIRCLE|ORGANIZATION_TYPE|EXT_SOURCE_2|OCCUPATION_TYPE|FLAG_DOCUMENT_3|LIVE_CITY_NOT_WORK_CITY,0.9001843929290771
home_credit,EBM,10000,1,0.725393923583447,187,EXT_SOURCE_3|EXT_SOURCE_2|ORGANIZATION_TYPE|OCCUPATION_TYPE|DAYS_EMPLOYED|DAYS_ID_PUBLISH|CODE_GENDER|DAYS_BIRTH|NAME_EDUCATION_TYPE|AMT_CREDIT,5.674631357192993
home_credit,XGBoost,10000,1,0.6879243244933929,187,EXT_SOURCE_3|EXT_SOURCE_2|DAYS_EMPLOYED|DAYS_ID_PUBLISH|AMT_CREDIT|DAYS_BIRTH|OCCUPATION_TYPE|ORGANIZATION_TYPE|AMT_ANNUITY|DAYS_LAST_PHONE_CHANGE,0.9556152820587158
home_credit,CatBoost,10000,1,0.7026383239398704,187,EXT_SOURCE_3|EXT_SOURCE_2|DAYS_EMPLOYED|DAYS_BIRTH|OCCUPATION_TYPE|AMT_CREDIT|AMT_GOODS_PRICE|DAYS_ID_PUBLISH|WEEKDAY_APPR_PROCESS_START|ORGANIZATION_TYPE,2.2637526988983154
home_credit,LR,10000,2,0.7145145453242919,189,AMT_CREDIT|ORGANIZATION_TYPE|AMT_GOODS_PRICE|EXT_SOURCE_3|EXT_SOURCE_2|FLAG_DOCUMENT_3|OCCUPATION_TYPE|CODE_GENDER|WEEKDAY_APPR_PROCESS_START|NAME_EDUCATION_TYPE,0.8589270114898682
home_credit,EBM,10000,2,0.7249404859806612,189,EXT_SOURCE_3|EXT_SOURCE_2|ORGANIZATION_TYPE|OCCUPATION_TYPE|NAME_EDUCATION_TYPE|CODE_GENDER|WEEKDAY_APPR_PROCESS_START|FLAG_OWN_CAR|NAME_FAMILY_STATUS|AMT_CREDIT,6.207216262817383
home_credit,XGBoost,10000,2,0.6817763147793513,189,EXT_SOURCE_2|EXT_SOURCE_3|AMT_CREDIT|AMT_GOODS_PRICE|DAYS_BIRTH|ORGANIZATION_TYPE|OCCUPATION_TYPE|REGION_POPULATION_RELATIVE|WEEKDAY_APPR_PROCESS_START|DAYS_REGISTRATION,1.041862964630127
home_credit,CatBoost,10000,2,0.6925974552419841,189,EXT_SOURCE_3|EXT_SOURCE_2|AMT_CREDIT|AMT_GOODS_PRICE|DAYS_BIRTH|OCCUPATION_TYPE|WEEKDAY_APPR_PROCESS_START|NAME_EDUCATION_TYPE|ORGANIZATION_TYPE|DAYS_EMPLOYED,2.210750102996826
home_credit,LR,50000,0,0.7399474306633398,192,AMT_GOODS_PRICE|AMT_CREDIT|EXT_SOURCE_3|EXT_SOURCE_2|OBS_60_CNT_SOCIAL_CIRCLE|OBS_30_CNT_SOCIAL_CIRCLE|ORGANIZATION_TYPE|CODE_GENDER|OCCUPATION_TYPE|FLAG_DOCUMENT_3,1.524951696395874
home_credit,EBM,50000,0,0.7475378803059386,192,EXT_SOURCE_3|EXT_SOURCE_2|AMT_GOODS_PRICE|AMT_CREDIT|ORGANIZATION_TYPE|CODE_GENDER|OCCUPATION_TYPE|NAME_EDUCATION_TYPE|DAYS_EMPLOYED|FLAG_OWN_CAR,15.949876070022583
home_credit,XGBoost,50000,0,0.7240206454912357,192,EXT_SOURCE_2|EXT_SOURCE_3|AMT_GOODS_PRICE|AMT_CREDIT|DAYS_EMPLOYED|CODE_GENDER|ORGANIZATION_TYPE|DAYS_BIRTH|OCCUPATION_TYPE|NAME_EDUCATION_TYPE,1.6201026439666748
home_credit,CatBoost,50000,0,0.7364913765276957,192,EXT_SOURCE_3|EXT_SOURCE_2|AMT_GOODS_PRICE|AMT_CREDIT|CODE_GENDER|DAYS_EMPLOYED|NAME_EDUCATION_TYPE|OCCUPATION_TYPE|FLAG_OWN_CAR|ORGANIZATION_TYPE,2.658780097961426
home_credit,LR,50000,1,0.7389251343293536,193,AMT_CREDIT|AMT_GOODS_PRICE|EXT_SOURCE_3|EXT_SOURCE_2|ORGANIZATION_TYPE|CODE_GENDER|OCCUPATION_TYPE|NAME_EDUCATION_TYPE|FLAG_DOCUMENT_3|FLAG_OWN_CAR,1.2546772956848145
home_credit,EBM,50000,1,0.7483838779910327,193,EXT_SOURCE_3|EXT_SOURCE_2|AMT_CREDIT|AMT_GOODS_PRICE|ORGANIZATION_TYPE|CODE_GENDER|NAME_EDUCATION_TYPE|OCCUPATION_TYPE|DAYS_EMPLOYED|NAME_FAMILY_STATUS,17.532594680786133
home_credit,XGBoost,50000,1,0.7221513771610869,193,EXT_SOURCE_2|EXT_SOURCE_3|AMT_CREDIT|AMT_GOODS_PRICE|CODE_GENDER|ORGANIZATION_TYPE|DAYS_EMPLOYED|DAYS_BIRTH|NAME_EDUCATION_TYPE|DAYS_ID_PUBLISH,1.627166986465454
home_credit,CatBoost,50000,1,0.7340593393558225,193,EXT_SOURCE_2|EXT_SOURCE_3|AMT_GOODS_PRICE|AMT_CREDIT|CODE_GENDER|DAYS_EMPLOYED|NAME_EDUCATION_TYPE|DAYS_BIRTH|DAYS_LAST_PHONE_CHANGE|AMT_ANNUITY,2.7640233039855957
home_credit,LR,50000,2,0.7390286677940177,193,AMT_GOODS_PRICE|AMT_CREDIT|EXT_SOURCE_2|EXT_SOURCE_3|ORGANIZATION_TYPE|CODE_GENDER|FLAG_DOCUMENT_3|NAME_EDUCATION_TYPE|FLAG_OWN_CAR|AMT_ANNUITY,1.2991442680358887
home_credit,EBM,50000,2,0.7479248225141878,193,EXT_SOURCE_3|EXT_SOURCE_2|AMT_GOODS_PRICE|AMT_CREDIT|ORGANIZATION_TYPE|CODE_GENDER|NAME_EDUCATION_TYPE|OCCUPATION_TYPE|FLAG_OWN_CAR|AMT_ANNUITY,17.009912490844727
home_credit,XGBoost,50000,2,0.7197878231920732,193,EXT_SOURCE_2|EXT_SOURCE_3|AMT_GOODS_PRICE|AMT_CREDIT|CODE_GENDER|ORGANIZATION_TYPE|DAYS_BIRTH|DAYS_EMPLOYED|NAME_EDUCATION_TYPE|OCCUPATION_TYPE,1.68526029586792
home_credit,CatBoost,50000,2,0.7335248967826965,193,EXT_SOURCE_2|EXT_SOURCE_3|AMT_GOODS_PRICE|AMT_CREDIT|CODE_GENDER|NAME_EDUCATION_TYPE|DAYS_EMPLOYED|DAYS_BIRTH|FLAG_OWN_CAR|OCCUPATION_TYPE,2.7717137336730957
home_credit,LR,100000,0,0.7418370134683276,193,AMT_GOODS_PRICE|AMT_CREDIT|EXT_SOURCE_3|EXT_SOURCE_2|ORGANIZATION_TYPE|CODE_GENDER|OCCUPATION_TYPE|NAME_EDUCATION_TYPE|FLAG_OWN_CAR|NAME_FAMILY_STATUS,2.2755441665649414
home_credit,EBM,100000,0,0.751818037736083,193,AMT_GOODS_PRICE|EXT_SOURCE_3|AMT_CREDIT|EXT_SOURCE_2|CODE_GENDER|ORGANIZATION_TYPE|OCCUPATION_TYPE|NAME_EDUCATION_TYPE|DAYS_EMPLOYED|FLAG_OWN_CAR,39.61372900009155
home_credit,XGBoost,100000,0,0.7363882847982144,193,EXT_SOURCE_2|EXT_SOURCE_3|AMT_GOODS_PRICE|AMT_CREDIT|CODE_GENDER|ORGANIZATION_TYPE|DAYS_BIRTH|DAYS_EMPLOYED|NAME_EDUCATION_TYPE|AMT_ANNUITY,2.296025276184082
home_credit,CatBoost,100000,0,0.7455336422843453,193,EXT_SOURCE_3|EXT_SOURCE_2|AMT_GOODS_PRICE|AMT_CREDIT|CODE_GENDER|NAME_EDUCATION_TYPE|DAYS_EMPLOYED|DAYS_BIRTH|FLAG_OWN_CAR|ORGANIZATION_TYPE,3.3026652336120605
home_credit,LR,100000,1,0.7415591940997573,193,AMT_GOODS_PRICE|AMT_CREDIT|EXT_SOURCE_3|EXT_SOURCE_2|FLAG_DOCUMENT_3|ORGANIZATION_TYPE|CODE_GENDER|NAME_EDUCATION_TYPE|FLAG_OWN_CAR|OCCUPATION_TYPE,2.2764320373535156
home_credit,EBM,100000,1,0.7501983515654187,193,AMT_CREDIT|AMT_GOODS_PRICE|EXT_SOURCE_3|EXT_SOURCE_2|CODE_GENDER|NAME_EDUCATION_TYPE|ORGANIZATION_TYPE|OCCUPATION_TYPE|DAYS_EMPLOYED|FLAG_OWN_CAR,39.65414214134216
home_credit,XGBoost,100000,1,0.735795638271181,193,EXT_SOURCE_2|EXT_SOURCE_3|AMT_CREDIT|AMT_GOODS_PRICE|CODE_GENDER|NAME_EDUCATION_TYPE|DAYS_BIRTH|ORGANIZATION_TYPE|DAYS_EMPLOYED|FLAG_OWN_CAR,2.296684741973877
home_credit,CatBoost,100000,1,0.7428880083396754,193,EXT_SOURCE_3|EXT_SOURCE_2|AMT_GOODS_PRICE|AMT_CREDIT|CODE_GENDER|NAME_EDUCATION_TYPE|DAYS_EMPLOYED|DAYS_BIRTH|FLAG_OWN_CAR|DAYS_ID_PUBLISH,3.3033664226531982
home_credit,LR,100000,2,0.7419086173165108,193,AMT_GOODS_PRICE|AMT_CREDIT|EXT_SOURCE_3|EXT_SOURCE_2|ORGANIZATION_TYPE|CODE_GENDER|FLAG_DOCUMENT_3|FLAG_OWN_CAR|NAME_EDUCATION_TYPE|OCCUPATION_TYPE,2.195359468460083
home_credit,EBM,100000,2,0.75128551528605,193,EXT_SOURCE_3|EXT_SOURCE_2|AMT_GOODS_PRICE|AMT_CREDIT|CODE_GENDER|ORGANIZATION_TYPE|NAME_EDUCATION_TYPE|OCCUPATION_TYPE|FLAG_OWN_CAR|DAYS_EMPLOYED,36.33356285095215
home_credit,XGBoost,100000,2,0.7332225041133916,193,EXT_SOURCE_2|EXT_SOURCE_3|AMT_GOODS_PRICE|AMT_CREDIT|CODE_GENDER|ORGANIZATION_TYPE|DAYS_EMPLOYED|DAYS_BIRTH|NAME_EDUCATION_TYPE|AMT_ANNUITY,2.3553593158721924
home_credit,CatBoost,100000,2,0.7457683710983072,193,EXT_SOURCE_2|EXT_SOURCE_3|AMT_GOODS_PRICE|AMT_CREDIT|CODE_GENDER|DAYS_EMPLOYED|NAME_EDUCATION_TYPE|DAYS_BIRTH|FLAG_OWN_CAR|ORGANIZATION_TYPE,3.4895453453063965
