dataset,model,n_train,auc_mean,auc_std,n_reps,top10_jaccard_across_reps
lending_club,CatBoost,10000,0.6799719477484546,0.002290589211509926,3,0.6744366744366744
lending_club,EBM,10000,0.6982428764800911,0.0017318508160918454,3,0.7676767676767677
lending_club,LR,10000,0.6941971573862887,0.001175601380146477,3,0.28104575163398693
lending_club,XGBoost,10000,0.6610524682959387,0.004432604165070899,3,0.5018315018315018
lending_club,CatBoost,50000,0.7102765383117742,0.00037250220127481526,3,0.8181818181818182
lending_club,EBM,50000,0.7126639931658697,0.0005076615917119969,3,0.7676767676767677
lending_club,LR,50000,0.7048158911797063,0.0004286136910877763,3,0.5445665445665445
lending_club,XGBoost,50000,0.6971057446699264,0.00019576875225740998,3,0.8787878787878789
lending_club,CatBoost,100000,0.716540416032983,0.00040399914990350095,3,0.8787878787878789
lending_club,EBM,100000,0.7158991318340222,9.74975208362663e-05,3,0.7676767676767677
lending_club,LR,100000,0.7062069173094553,0.00013384821606013714,3,0.7171717171717171
lending_club,XGBoost,100000,0.7091112638473227,0.0004211217058364822,3,0.8787878787878789
lending_club,CatBoost,250000,0.7213189929661913,0.00013515188998906912,3,1.0
lending_club,EBM,250000,0.7181595833561681,8.571976920602376e-05,3,0.7171717171717171
lending_club,LR,250000,0.7070350269635001,0.00010447377577768306,3,0.7777777777777777
lending_club,XGBoost,250000,0.7184867951921358,0.0004896621530477326,3,0.8181818181818182
