dataset,model,n_train,rep,auc,n_encoded_features,top10,elapsed_seconds
lending_club,LR,10000,0,0.694722863315723,141,addr_state|term|total_acc|loan_amnt|total_bal_ex_mort|dti|total_il_high_credit_limit|num_rev_tl_bal_gt_0|acc_open_past_24mths|percent_bc_gt_75,0.9398221969604492
lending_club,EBM,10000,0,0.69960539354712,141,term|addr_state|loan_amnt|dti|annual_inc|home_ownership|acc_open_past_24mths|total_acc|verification_status|purpose,6.799684286117554
lending_club,XGBoost,10000,0,0.6566164436290574,141,term|loan_amnt|addr_state|fico_range_low|annual_inc|dti|acc_open_past_24mths|total_acc|bc_util|tot_cur_bal,1.5310702323913574
lending_club,CatBoost,10000,0,0.6788481925473796,141,term|loan_amnt|dti|addr_state|annual_inc|acc_open_past_24mths|fico_range_high|home_ownership|total_acc|percent_bc_gt_75,2.975994348526001
lending_club,LR,10000,1,0.6950181695247187,140,term|addr_state|dti|num_actv_rev_tl|num_rev_tl_bal_gt_0|tot_hi_cred_lim|purpose|home_ownership|total_bal_ex_mort|total_bc_limit,0.999514102935791
lending_club,EBM,10000,1,0.6988292802362809,140,term|addr_state|dti|verification_status|home_ownership|loan_amnt|purpose|fico_range_low|fico_range_high|acc_open_past_24mths,7.426968336105347
lending_club,XGBoost,10000,1,0.6610593172364301,140,term|fico_range_low|dti|addr_state|loan_amnt|mo_sin_old_rev_tl_op|credit_history_months|mths_since_recent_inq|home_ownership|acc_open_past_24mths,1.535186767578125
lending_club,CatBoost,10000,1,0.6784602584651109,140,term|dti|addr_state|loan_amnt|verification_status|home_ownership|fico_range_low|acc_open_past_24mths|fico_range_high|purpose,2.886357069015503
lending_club,LR,10000,2,0.6928504393184242,140,open_acc|addr_state|term|num_sats|total_bal_ex_mort|mo_sin_old_rev_tl_op|credit_history_months|loan_amnt|tot_cur_bal|total_acc,0.9720702171325684
lending_club,EBM,10000,2,0.6962939556568719,140,term|loan_amnt|addr_state|annual_inc|verification_status|dti|home_ownership|purpose|acc_open_past_24mths|fico_range_high,6.217205762863159
