candidate_index,params,mean_validation_auc,std_validation_auc,sklearn_rank,mean_fit_time_seconds,mean_score_time_seconds,fold1_validation_auc
0,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 5}",0.7332777579410076,0.0,4,425.58260583877563,1.9917523860931396,0.7332777579410076
1,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 5}",0.7328734527516929,0.0,9,410.2620265483856,1.9624309539794922,0.7328734527516929
2,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 5}",0.7329256032507799,0.0,8,210.67230868339539,1.9733192920684814,0.7329256032507799
3,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 5}",0.7323648863500598,0.0,17,191.1041283607483,1.8826050758361816,0.7323648863500598
4,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 5}",0.733040954198325,0.0,7,287.0392048358917,1.963942289352417,0.733040954198325
5,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 2}",0.7325833604319903,0.0,15,206.51689171791077,1.915370225906372,0.7325833604319903
6,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 5}",0.732316905223839,0.0,19,163.64254879951477,1.8845648765563965,0.732316905223839
7,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 2}",0.7332443390102359,0.0,5,425.10543036460876,2.0095670223236084,0.7332443390102359
8,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 2}",0.733409394198864,0.0,3,241.29222011566162,1.959444284439087,0.733409394198864
9,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 5}",0.733435096786089,0.0,2,284.45541858673096,2.002203941345215,0.733435096786089
10,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 2}",0.732544422710065,0.0,16,161.00042414665222,2.0010087490081787,0.732544422710065
11,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.005, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 5}",0.7331555524714124,0.0,6,399.50425910949707,1.961111307144165,0.7331555524714124
12,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 2}",0.7326227452606762,0.0,14,202.57270979881287,1.978433609008789,0.7326227452606762
13,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 2}",0.7328045153940475,0.0,12,199.4342679977417,1.9544618129730225,0.7328045153940475
14,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.02, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 2}",0.7321810668490047,0.0,20,182.0607225894928,1.8853867053985596,0.7321810668490047
15,"{'clf__estimator__interactions': 20, 'clf__estimator__learning_rate': 0.005, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 2}",0.7335149289546733,0.0,1,356.5930280685425,2.0790183544158936,0.7335149289546733
16,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.005, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 5}",0.7328633596433574,0.0,10,335.45684933662415,1.9572534561157227,0.7328633596433574
17,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 3, 'clf__estimator__min_samples_leaf': 2}",0.7323365479058618,0.0,18,164.19300842285156,1.915231466293335,0.7323365479058618
18,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 512, 'clf__estimator__max_leaves': 2, 'clf__estimator__min_samples_leaf': 2}",0.732843786322517,0.0,11,400.1567921638489,1.9013440608978271,0.732843786322517
19,"{'clf__estimator__interactions': 10, 'clf__estimator__learning_rate': 0.01, 'clf__estimator__max_bins': 256, 'clf__estimator__max_leaves': 5, 'clf__estimator__min_samples_leaf': 2}",0.7326991886337643,0.0,13,232.51211524009705,1.9638822078704834,0.7326991886337643
