candidate_index,params,mean_validation_auc,std_validation_auc,sklearn_rank,mean_fit_time_seconds,mean_score_time_seconds,fold1_validation_auc
0,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7366906033049785,0.0,8,6.522937284782529,0.5905364640057087,0.7366906033049785
1,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7344388939997695,0.0,26,6.717151811346412,0.5941858943551779,0.7344388939997695
2,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7336585211043268,0.0,28,6.602231897413731,0.5674343630671501,0.7336585211043268
3,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7369584069411721,0.0,6,10.128866832703352,1.0815903767943382,0.7369584069411721
4,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7349833269105055,0.0,24,5.5554283279925585,0.487118111923337,0.7349833269105055
5,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.731599576208068,0.0,30,5.532266376540065,0.4453791193664074,0.731599576208068
6,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7366329383718171,0.0,10,8.147111423313618,0.8321169018745422,0.7366329383718171
7,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.734990159999246,0.0,23,6.701552415266633,0.5731441676616669,0.734990159999246
8,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.737893011467955,0.0,2,10.575183555483818,1.1031503900885582,0.737893011467955
9,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7358021417670599,0.0,20,8.69964755512774,0.8109222110360861,0.7358021417670599
10,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7369336132891147,0.0,7,9.934196200221777,1.045057624578476,0.7369336132891147
11,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7350548780536561,0.0,22,5.532005771994591,0.48116867057979107,0.7350548780536561
12,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7373964190025895,0.0,3,7.678239211440086,0.7445295434445143,0.7373964190025895
13,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7363266372327524,0.0,16,6.00042175129056,0.5372502468526363,0.7363266372327524
14,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7366165327797088,0.0,12,6.3689570762217045,0.5769807193428278,0.7366165327797088
15,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7365289053120184,0.0,14,7.623847093433142,0.7361491173505783,0.7365289053120184
16,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 0.8}",0.7370037820938229,0.0,5,7.257458869367838,0.6926762945950031,0.7370037820938229
17,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.1, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7317954892670241,0.0,29,5.686952996999025,0.4633700679987669,0.7317954892670241
18,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7366038508180445,0.0,13,7.885645933449268,0.7747971471399069,0.7366038508180445
19,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7361570631586744,0.0,19,8.13122639246285,0.8202793076634407,0.7361570631586744
20,"{'clf__estimator__colsample_bytree': 0.8, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.7366326769470551,0.0,11,8.494287507608533,0.8862710688263178,0.7366326769470551
21,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 0.8}",0.7373706294938316,0.0,4,8.367049939930439,0.8457171656191349,0.7373706294938316
22,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7366543605246628,0.0,9,10.71352749876678,1.1465957146137953,0.7366543605246628
23,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 4, 'clf__estimator__min_child_weight': 1, 'clf__estimator__subsample': 1.0}",0.7365287498875155,0.0,15,7.615034116432071,0.7405741810798645,0.7365287498875155
24,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.736262038513905,0.0,17,6.589159673079848,0.6186131816357374,0.736262038513905
25,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0.1, 'clf__estimator__learning_rate': 0.05, 'clf__estimator__max_depth': 8, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.734023052254538,0.0,27,6.865568494424224,0.5971309300512075,0.734023052254538
26,"{'clf__estimator__colsample_bytree': 1.0, 'clf__estimator__gamma': 0, 'clf__estimator__learning_rate': 0.03, 'clf__estimator__max_depth': 6, 'clf__estimator__min_child_weight': 5, 'clf__estimator__subsample': 1.0}",0.73622788614144,0.0,18,8.389285003766418,0.8649636842310429,0.73622788614144
