model,test_year,n_test,default_rate_test,auc,pr_auc,brier,emp,eta,precision,recall,f1,precision_fix,recall_fix,f1_fix,balacc_fix
LR,2016,293105,0.23285853192541922,0.7043402747965386,0.41583962744579744,0.1642033454086426,0.019950194301027367,0.1814729597870172,0.456303282401878,0.324664478696595,0.37938945674319857,0.3584476746080892,0.6445671921701928,0.46069827838981275,0.6471936484304064
LR,2017,169321,0.23132984095298278,0.6927198940448323,0.39339202091407527,0.16615265049056394,0.019444102345116624,0.18673763810338131,0.43471536932027394,0.30141183078454903,0.3559937883516517,0.3529136643330069,0.6164568919298424,0.44886046771015353,0.638146541729873
LR,2018,56318,0.15756951596292482,0.6757018326073883,0.2714203094597767,0.12723718408437387,0.018601756372762547,0.1872862429641105,0.30079309540471194,0.29062429569528964,0.2956212746446584,0.24784786732162833,0.5742618886635114,0.34625445897740786,0.6241493238950302
EBM,2016,293105,0.23285853192541922,0.7152322431619986,0.4276223001704072,0.16225973495628337,0.020623637633177226,0.1838456852137899,0.4654491017964072,0.34166031764636934,0.3940617818034338,0.37296433994868305,0.6261354978608685,0.46747322708030237,0.6533033695358965
EBM,2017,169321,0.23132984095298278,0.7058380551027189,0.4048544348479445,0.16406115740838667,0.020214614820571575,0.18779681958024416,0.4406544166174581,0.32387857744645,0.3733482445039583,0.3678746023124079,0.605172457811024,0.45758851009613527,0.6461114916751967
EBM,2018,56318,0.15756951596292482,0.6986529124062081,0.2899950354080524,0.12613860816715877,0.019898194941736974,0.18444794126909508,0.3131549496388239,0.34685598377281945,0.32914505694273644,0.26110894562463455,0.6038990308767185,0.3645826246683448,0.6421295171245577
XGBoost,2016,293105,0.23285853192541922,0.7194291448530734,0.43566595151661763,0.1612043744620761,0.020817433531411536,0.18123662360482895,0.4710152054605897,0.3508322100451269,0.40213621745081407,0.36783583438799494,0.6557903065111645,0.4713110870091716,0.6568433994430914
XGBoost,2017,169321,0.23132984095298278,0.7106631977500876,0.4149804913695084,0.16297113063559454,0.020405593867388487,0.18512501199751602,0.4525398721281529,0.3288825346575098,0.3809270348192504,0.36485988472367586,0.6319027802598994,0.46260957329495545,0.6504295387561714
XGBoost,2018,56318,0.15756951596292482,0.7035518697563888,0.30152431786078104,0.1249085671741819,0.020104448395445,0.18700327158263247,0.3211171096345515,0.34854631507775524,0.3342699664973522,0.25900056253515846,0.6226053639846744,0.36582135999470305,0.6447168123354785
CatBoost,2016,293105,0.23285853192541922,0.7200522206341154,0.4355370067898473,0.16117394461037587,0.020863752065035455,0.182751273858174,0.4707046171325589,0.3520629432104554,0.40282981701746,0.3690905044143468,0.6560100802906874,0.4723967482762805,0.657816072241869
CatBoost,2017,169321,0.23132984095298278,0.7104785160919028,0.4129334501531748,0.16300376152064944,0.02040326262935424,0.18701129433836133,0.44822758008332764,0.33508642038346653,0.3834859972827278,0.3642521001011567,0.6343281676836273,0.4627677407338424,0.6505704087542238
CatBoost,2018,56318,0.15756951596292482,0.7038314456518225,0.2983326308446954,0.12560765983333816,0.020180616865668313,0.1906818573896038,0.31568998109640833,0.357561415370746,0.3353236459709379,0.2586023740242945,0.6309443317556908,0.3668468468468468,0.646304304820599
