model,feature,mean_abs_attribution,rank
LR,term,0.36649034595969726,1
LR,loan_amnt,0.18055752953732954,2
LR,dti,0.17152838735257775,3
LR,addr_state,0.1686312170352711,4
LR,acc_open_past_24mths,0.15842565851250062,5
LR,total_il_high_credit_limit,0.1458300292031751,6
LR,total_bal_ex_mort,0.13879838538504205,7
LR,home_ownership,0.131200110166632,8
LR,purpose,0.12574765533812196,9
LR,total_acc,0.12490820718400085,10
LR,annual_inc,0.12302593403979299,11
LR,mo_sin_old_rev_tl_op,0.11963023865782872,12
LR,percent_bc_gt_75,0.10912965252389589,13
LR,credit_history_months,0.1074397662108944,14
LR,total_bc_limit,0.10529184076575562,15
LR,fico_range_low,0.10517212781740243,16
LR,fico_range_high,0.10499259050092188,17
LR,num_rev_tl_bal_gt_0,0.08569308687863991,18
LR,inq_last_6mths,0.06846789380632981,19
LR,bc_util,0.06493095983590826,20
LR,num_tl_op_past_12m,0.060218070480500374,21
LR,verification_status,0.055222574999675075,22
LR,delinq_2yrs,0.052229732106663436,23
LR,num_sats,0.050029564053157706,24
LR,revol_bal,0.04886468535081222,25
LR,avg_cur_bal,0.042281603841992935,26
LR,revol_util,0.04162895327910662,27
LR,mths_since_recent_bc,0.039773509434337176,28
LR,total_rev_hi_lim,0.03829346867849413,29
LR,num_op_rev_tl,0.03696712907702773,30
LR,pct_tl_nvr_dlq,0.03455578614021537,31
LR,num_actv_rev_tl,0.03164240307205859,32
LR,mths_since_recent_inq,0.029718874165881946,33
LR,num_bc_tl,0.029218855149738068,34
LR,num_bc_sats,0.027568370351114955,35
LR,mort_acc,0.023517126904274384,36
LR,num_rev_accts,0.02199775867890174,37
LR,bc_open_to_buy,0.020513552140685603,38
LR,num_actv_bc_tl,0.01929787288640291,39
LR,mo_sin_old_il_acct,0.019260020959421455,40
LR,mo_sin_rcnt_tl,0.016420604316637052,41
LR,num_accts_ever_120_pd,0.016084602582268417,42
LR,num_il_tl,0.015859777246165666,43
