dataset,model,brier_raw,brier_calibrated,brier_raw_minus_calibrated
south_german,LR,0.1782546192407608,0.15271209180355072,0.025542527437210083
south_german,EBM,0.1723228096961975,0.15383341908454895,0.01848939061164856
south_german,XGBoost,0.1737929731607437,0.15972544252872467,0.014067530632019043
south_german,CatBoost,0.15248842537403107,0.14835523068904877,0.0041331946849823
taiwan,LR,0.21169888973236084,0.1448306292295456,0.06686826050281525
taiwan,EBM,0.18441720306873322,0.1377992480993271,0.04661795496940613
taiwan,XGBoost,0.18101461231708527,0.13735561072826385,0.04365900158882141
taiwan,CatBoost,0.181913822889328,0.13736549019813538,0.04454833269119263
home_credit,LR,0.20332854986190796,0.06872060894966125,0.1346079409122467
home_credit,EBM,0.19736532866954803,0.06794967502355576,0.12941565364599228
home_credit,XGBoost,0.19268092513084412,0.0680060163140297,0.12467490881681442
home_credit,CatBoost,0.19594889879226685,0.06805038452148438,0.12789851427078247
lending_club,LR,0.21777863800525665,0.145061194896698,0.07271744310855865
lending_club,EBM,0.2134162336587906,0.14309874176979065,0.07031749188899994
lending_club,XGBoost,0.20726969838142395,0.14184905588626862,0.06542064249515533
lending_club,CatBoost,0.20898546278476715,0.14175482094287872,0.06723064184188843
