dataset,model,roi,emp,eta,prior_default_frozen,baseline_roi
south_german,LR,0.1,0.062339524305555546,0.25560951388888886,0.3,0.2644
south_german,LR,0.15,0.056101429687499996,0.21466427083333336,0.3,0.2644
south_german,LR,0.2,0.05211872222222221,0.16661277777777778,0.3,0.2644
south_german,LR,0.25,0.04874019097222222,0.1598909722222222,0.3,0.2644
south_german,LR,0.3,0.045535875,0.15316916666666666,0.3,0.2644
south_german,LR,0.35,0.04250577430555556,0.14644736111111112,0.3,0.2644
south_german,LR,0.4,0.03964988888888889,0.13972555555555555,0.3,0.2644
south_german,LR,0.45,0.036968218750000004,0.13300374999999998,0.3,0.2644
south_german,LR,0.5,0.034460763888888885,0.12628194444444443,0.3,0.2644
south_german,EBM,0.1,0.06436279583333333,0.24359408333333332,0.3,0.2644
south_german,EBM,0.15,0.058322540625,0.22476612499999998,0.3,0.2644
south_german,EBM,0.2,0.05292618333333333,0.20593816666666664,0.3,0.2644
south_german,EBM,0.25,0.04817372395833333,0.1871102083333333,0.3,0.2644
south_german,EBM,0.3,0.044065162500000005,0.15528224999999996,0.3,0.2644
south_german,EBM,0.35,0.040954665625,0.144037625,0.3,0.2644
south_german,EBM,0.4,0.03843339999999999,0.12728300000000004,0.3,0.2644
south_german,EBM,0.45,0.036144615625,0.12069337500000002,0.3,0.2644
south_german,EBM,0.5,0.0340365625,0.11410375,0.3,0.2644
south_german,XGBoost,0.1,0.06323551420454544,0.2595147159090909,0.3,0.2644
south_german,XGBoost,0.15,0.05659865696022727,0.23064707386363636,0.3,0.2644
south_german,XGBoost,0.2,0.051207056818181815,0.19332943181818182,0.3,0.2644
south_german,XGBoost,0.25,0.04682352627840909,0.17697428977272728,0.3,0.2644
south_german,XGBoost,0.3,0.04325512784090908,0.1544991477272727,0.3,0.2644
south_german,XGBoost,0.35,0.04005767400568182,0.14612400568181816,0.3,0.2644
south_german,XGBoost,0.4,0.037095227272727266,0.13774886363636363,0.3,0.2644
south_german,XGBoost,0.45,0.034367787642045455,0.1293737215909091,0.3,0.2644
south_german,XGBoost,0.5,0.03187535511363636,0.12099857954545452,0.3,0.2644
south_german,CatBoost,0.1,0.06464951136363635,0.2609847727272727,0.3,0.2644
south_german,CatBoost,0.15,0.05806140056818182,0.23172715909090902,0.3,0.2644
south_german,CatBoost,0.2,0.05270304545454545,0.20036954545454538,0.3,0.2644
south_german,CatBoost,0.25,0.04835827414772728,0.1627588068181818,0.3,0.2644
south_german,CatBoost,0.3,0.045055914772727274,0.1539105681818182,0.3,0.2644
south_german,CatBoost,0.35,0.04201221732954545,0.14506232954545456,0.3,0.2644
south_german,CatBoost,0.4,0.03922718181818182,0.13621409090909092,0.3,0.2644
south_german,CatBoost,0.45,0.036798464488636363,0.12539710227272727,0.3,0.2644
south_german,CatBoost,0.5,0.03457372159090909,0.11808011363636364,0.3,0.2644
taiwan,LR,0.1,0.03355906399380817,0.26812606838438985,0.22120833333333334,0.2644
taiwan,LR,0.15,0.025644320184544628,0.17870963980154025,0.22120833333333334,0.2644
taiwan,LR,0.2,0.0223326764578637,0.10011914402005508,0.22120833333333334,0.2644
taiwan,LR,0.25,0.019882473422167576,0.08577604857610466,0.22120833333333334,0.2644
taiwan,LR,0.3,0.01797311182311301,0.0741228415390634,0.22120833333333334,0.2644
taiwan,LR,0.35,0.016470687968204792,0.06199252643714662,0.22120833333333334,0.2644
taiwan,LR,0.4,0.015296391232091392,0.055290042525603336,0.22120833333333334,0.2644
taiwan,LR,0.45,0.014210261775463544,0.05265675219472311,0.22120833333333334,0.2644
taiwan,LR,0.5,0.013214394197657332,0.04844158284328042,0.22120833333333334,0.2644
taiwan,EBM,0.1,0.03678580812667527,0.21283761124115125,0.22120833333333334,0.2644
taiwan,EBM,0.15,0.030791904777442713,0.16216126235301284,0.22120833333333334,0.2644
taiwan,EBM,0.2,0.02695882373118359,0.12149942645248266,0.22120833333333334,0.2644
taiwan,EBM,0.25,0.023867463901076868,0.10970350299012321,0.22120833333333334,0.2644
taiwan,EBM,0.3,0.02122282008973709,0.09503714094338768,0.22120833333333334,0.2644
taiwan,EBM,0.35,0.01899919242399476,0.08544019080860096,0.22120833333333334,0.2644
taiwan,EBM,0.4,0.017288981126987873,0.06813602676595823,0.22120833333333334,0.2644
taiwan,EBM,0.45,0.01587979139684112,0.06350334711298265,0.22120833333333334,0.2644
taiwan,EBM,0.5,0.01462197634930801,0.05797248381315597,0.22120833333333334,0.2644
taiwan,XGBoost,0.1,0.03670675700809509,0.22959700023610383,0.22120833333333334,0.2644
taiwan,XGBoost,0.15,0.030678547751814365,0.1607930641602842,0.22120833333333334,0.2644
taiwan,XGBoost,0.2,0.026385900315374522,0.1286657007600358,0.22120833333333334,0.2644
taiwan,XGBoost,0.25,0.02337864144823904,0.10088832083136298,0.22120833333333334,0.2644
taiwan,XGBoost,0.3,0.020965664247009158,0.09160439347497762,0.22120833333333334,0.2644
taiwan,XGBoost,0.35,0.018969334777187076,0.07702391307623707,0.22120833333333334,0.2644
taiwan,XGBoost,0.4,0.0172942717085856,0.07155836265852522,0.22120833333333334,0.2644
taiwan,XGBoost,0.45,0.015820719476465666,0.0625732626730124,0.22120833333333334,0.2644
taiwan,XGBoost,0.5,0.014562412436281294,0.05872502423407536,0.22120833333333334,0.2644
taiwan,CatBoost,0.1,0.03658466460846328,0.21570391452279886,0.22120833333333334,0.2644
taiwan,CatBoost,0.15,0.030834421084087082,0.1573538196490504,0.22120833333333334,0.2644
taiwan,CatBoost,0.2,0.02706208097249751,0.11850476572750188,0.22120833333333334,0.2644
taiwan,CatBoost,0.25,0.02409044561625339,0.10701670599891133,0.22120833333333334,0.2644
taiwan,CatBoost,0.3,0.021485641283263673,0.09702339954641709,0.22120833333333334,0.2644
taiwan,CatBoost,0.35,0.01929888460568546,0.08362700929915975,0.22120833333333334,0.2644
taiwan,CatBoost,0.4,0.017476205218370778,0.07359591594031684,0.22120833333333334,0.2644
taiwan,CatBoost,0.45,0.015918440427573396,0.06689648484904541,0.22120833333333334,0.2644
taiwan,CatBoost,0.5,0.014569926861326203,0.05998035584339294,0.22120833333333334,0.2644
home_credit,LR,0.1,0.005473061800019632,0.07000953203861048,0.08072908198107379,0.2644
home_credit,LR,0.15,0.003306875247029448,0.0391504163370885,0.08072908198107379,0.2644
home_credit,LR,0.2,0.002129976924903628,0.023492338514624067,0.08072908198107379,0.2644
